State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Alathur,CHITTOOR,KARVETINAGAR - 4767,Alathur,0,6,40,23,18,5,20,22,4,0,8,38,1,0,45,46,0,42,4,35,11,35,11,46,0,44,2,40,6
Annur,CHITTOOR,KARVETINAGAR - 4767,Annur,0,7,12,9,9,1,8,10,1,1,6,12,0,0,19,19,0,18,1,3,16,12,7,18,1,17,2,9,10
Damodara Maharajapuram,CHITTOOR,KARVETINAGAR - 4767,Damodara Maharajapuram,0,1,13,3,6,5,0,8,6,0,1,13,0,0,14,14,0,13,1,6,8,9,5,14,0,13,1,10,4
Gopichettipalle,CHITTOOR,KARVETINAGAR - 4767,Gopichettipalle,0,4,17,18,2,1,8,10,3,4,1,16,5,0,16,21,0,21,0,17,4,17,4,20,1,20,1,13,8
Karvetinagar,CHITTOOR,KARVETINAGAR - 4767,Karvetinagar,0,14,17,15,14,2,11,18,2,7,7,17,0,0,31,31,0,28,3,22,9,23,8,31,0,28,3,14,17
Katherapalle,CHITTOOR,KARVETINAGAR - 4767,Katherapalle,0,4,18,21,1,0,11,9,2,0,5,17,0,0,22,22,0,19,3,9,13,17,5,22,0,21,1,15,7
Kesavakuppam,CHITTOOR,KARVETINAGAR - 4767,Kesavakuppam,0,2,19,4,13,4,1,14,6,0,2,19,0,0,21,21,0,20,1,10,11,11,10,21,0,21,0,11,10
Kollagunta,CHITTOOR,KARVETINAGAR - 4767,Kollagunta,0,2,18,14,4,2,6,10,4,1,1,18,0,0,20,20,0,20,0,3,17,12,8,20,0,18,2,12,8
Kotarvedu,CHITTOOR,KARVETINAGAR - 4767,Kotarvedu,0,2,17,8,8,3,4,10,5,0,2,17,2,0,17,19,0,19,0,12,7,10,9,19,0,18,1,11,8
Ponnagallu,CHITTOOR,KARVETINAGAR - 4767,Ponnagallu,0,3,18,9,11,1,6,13,2,0,3,18,0,0,21,21,0,20,1,7,14,14,7,21,0,18,3,12,9
Rajakumaravenkata Bahadurpet,CHITTOOR,KARVETINAGAR - 4767,Rajakumaravenkata Bahadurpet,0,3,17,16,3,1,9,10,1,1,2,17,0,0,20,20,0,19,1,6,14,13,7,18,2,19,1,11,9
Tirumalakondamambagaripeta,CHITTOOR,KARVETINAGAR - 4767,Tirumalakondamambagaripeta,0,5,16,20,1,0,21,0,0,3,2,16,0,0,21,21,0,20,1,1,20,16,5,21,0,20,1,11,10
