State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Adavi Budugur,CHITTOOR,KUPPAM - 4768,Adavi Budugur,1,10,37,17,16,15,22,21,5,2,9,37,0,0,47,48,0,40,8,28,20,34,13,45,3,47,1,40,8
Adavimulakapalle,CHITTOOR,KUPPAM - 4768,Adavimulakapalle,0,7,9,8,6,2,10,6,0,0,3,13,0,0,16,16,0,6,10,13,3,14,2,15,1,16,0,15,1
Avulanatham,CHITTOOR,KUPPAM - 4768,Avulanatham,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Bandasettipalle (Rural),CHITTOOR,KUPPAM - 4768,Bandasettipalle (Rural),0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,3,0,2,1,3,0,2,1,3,0,3,0,3,0
Boggupalle,CHITTOOR,KUPPAM - 4768,Boggupalle,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0
Chekkunatham,CHITTOOR,KUPPAM - 4768,Chekkunatham,0,4,3,4,2,1,4,3,0,1,4,2,0,0,7,7,0,5,2,3,4,7,0,7,0,6,1,6,1
Chinnakurbalapalle (Rural),CHITTOOR,KUPPAM - 4768,Chinnakurbalapalle (Rural),0,0,2,0,2,0,2,0,0,0,0,2,0,0,2,2,0,0,2,1,1,1,1,2,0,0,2,2,0
Chinnaobba,CHITTOOR,KUPPAM - 4768,Chinnaobba,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Dasegowniyur,CHITTOOR,KUPPAM - 4768,Dasegowniyur,0,4,11,13,2,0,14,1,0,0,4,11,0,0,15,15,0,14,1,11,4,12,3,15,0,14,1,15,0
Ekarlapalle,CHITTOOR,KUPPAM - 4768,Ekarlapalle,0,4,13,16,0,1,10,7,0,0,4,13,0,0,17,17,0,5,12,11,7,17,0,18,0,15,2,18,0
Gattappanayanipalle,CHITTOOR,KUPPAM - 4768,Gattappanayanipalle,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Gudlanayanipalle,CHITTOOR,KUPPAM - 4768,Gudlanayanipalle,0,7,12,19,0,0,8,9,2,0,7,12,0,0,19,19,0,12,7,15,4,17,2,18,1,18,1,19,0
Guttapalle,CHITTOOR,KUPPAM - 4768,Guttapalle,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Jarugu,CHITTOOR,KUPPAM - 4768,Jarugu,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Kakimadugu,CHITTOOR,KUPPAM - 4768,Kakimadugu,0,1,17,13,5,0,12,6,0,0,1,17,0,0,18,18,0,7,11,13,5,17,1,16,2,17,1,18,0
Kamathamur,CHITTOOR,KUPPAM - 4768,Kamathamur,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0
Kanamapacharla Palle,CHITTOOR,KUPPAM - 4768,Kanamapacharla Palle,0,0,12,4,8,0,9,3,0,0,0,12,0,0,12,12,0,2,10,9,3,10,2,12,0,10,2,12,0
Kangundi,CHITTOOR,KUPPAM - 4768,Kangundi,0,12,21,19,11,3,22,10,1,0,11,22,0,0,33,29,4,18,15,18,15,26,7,32,1,29,4,32,1
Kathimanipalle,CHITTOOR,KUPPAM - 4768,Kathimanipalle,0,0,2,2,0,0,0,2,0,0,0,2,1,0,1,2,0,1,1,2,0,2,0,2,0,2,0,2,0
Kothapalle,CHITTOOR,KUPPAM - 4768,Kothapalle,0,2,13,1,4,10,4,5,6,0,2,13,0,0,15,15,0,6,9,5,10,8,7,14,1,12,3,14,1
Krishnadasanapalle,CHITTOOR,KUPPAM - 4768,Krishnadasanapalle,0,3,5,3,5,0,4,4,0,0,3,5,0,1,7,8,0,2,6,5,3,5,3,8,0,7,1,8,0
Kungegowniyur,CHITTOOR,KUPPAM - 4768,Kungegowniyur,0,1,1,1,1,0,0,2,0,0,1,1,0,0,2,2,0,2,0,0,2,2,0,2,0,2,0,2,0
Kuppam (CT),CHITTOOR,KUPPAM - 4768,Kuppam (CT),0,6,23,15,10,4,8,20,1,0,6,23,0,0,29,29,0,22,7,7,22,26,3,27,1,27,2,29,0
Kuttiganipalle,CHITTOOR,KUPPAM - 4768,Kuttiganipalle,0,3,4,3,2,2,1,4,2,0,3,4,0,0,7,7,0,7,0,4,3,3,4,6,1,7,0,6,1
Mittapalle,CHITTOOR,KUPPAM - 4768,Mittapalle,0,7,13,19,1,0,3,15,2,0,7,13,0,0,20,20,0,12,8,11,9,16,4,18,2,19,1,20,0
Mottakadirinur,CHITTOOR,KUPPAM - 4768,Mottakadirinur,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Mulakalapalle,CHITTOOR,KUPPAM - 4768,Mulakalapalle,0,1,1,1,1,0,0,2,0,0,1,1,0,0,2,2,0,1,1,1,1,1,1,2,0,1,1,1,1
Nadimur,CHITTOOR,KUPPAM - 4768,Nadimur,0,7,13,20,0,0,17,3,0,0,7,13,0,0,20,20,0,19,1,16,4,15,5,19,1,17,3,19,1
Noolakunta,CHITTOOR,KUPPAM - 4768,Noolakunta,0,2,3,2,1,2,3,2,0,0,2,3,1,0,4,5,0,3,2,3,2,4,1,4,1,3,2,5,0
Paipalyam,CHITTOOR,KUPPAM - 4768,Paipalyam,0,1,18,17,2,0,16,3,0,0,1,18,0,0,19,19,0,18,1,14,5,17,2,18,1,15,4,19,0
Palarlapalle,CHITTOOR,KUPPAM - 4768,Palarlapalle,0,6,10,15,1,0,14,2,0,0,6,10,0,0,16,16,0,6,10,13,3,14,2,16,0,14,2,16,0
Pedda Bangarunatham,CHITTOOR,KUPPAM - 4768,Pedda Bangarunatham,0,15,47,26,16,20,29,31,2,0,15,47,0,0,62,62,0,58,4,27,35,46,16,58,4,53,9,61,1
Pedda Boggupallle,CHITTOOR,KUPPAM - 4768,Pedda Boggupallle,0,0,5,3,2,0,3,2,0,0,0,5,0,0,5,5,0,1,4,2,3,4,1,2,3,4,1,5,0
Peddagopanapalle,CHITTOOR,KUPPAM - 4768,Peddagopanapalle,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Ponnangur,CHITTOOR,KUPPAM - 4768,Ponnangur,0,5,21,21,4,1,9,13,4,0,5,21,0,0,26,26,0,10,16,20,6,18,8,25,1,22,4,26,0
Rajanam,CHITTOOR,KUPPAM - 4768,Rajanam,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0
SAMAGUTTAPALLE,CHITTOOR,KUPPAM - 4768,SAMAGUTTAPALLE,0,1,7,6,2,0,4,3,1,0,1,7,0,0,8,8,0,5,3,6,2,6,2,8,0,7,1,8,0
Seegalapalle,CHITTOOR,KUPPAM - 4768,Seegalapalle,0,2,0,2,0,0,2,0,0,0,2,0,0,0,2,2,0,1,1,1,1,1,1,2,0,2,0,2,0
T.Sadumur,CHITTOOR,KUPPAM - 4768,T.Sadumur,0,0,10,8,1,1,0,9,1,0,0,10,0,1,9,10,0,5,5,7,3,6,4,9,1,9,1,10,0
Urinayanipalle,CHITTOOR,KUPPAM - 4768,Urinayanipalle,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0
Urlaobanapalle,CHITTOOR,KUPPAM - 4768,Urlaobanapalle,1,4,7,11,1,0,10,2,0,0,5,7,0,0,12,12,0,10,2,7,5,9,3,10,2,11,1,12,0
Vasanadu,CHITTOOR,KUPPAM - 4768,Vasanadu,0,5,10,14,1,0,13,2,0,0,6,9,0,0,15,15,0,11,4,9,6,14,1,14,1,12,3,15,0
Vendugampalle,CHITTOOR,KUPPAM - 4768,Vendugampalle,0,1,10,11,0,0,9,2,0,0,1,10,0,0,11,11,0,10,1,10,1,10,1,11,0,10,1,11,0
Yanadipalle,CHITTOOR,KUPPAM - 4768,Yanadipalle,0,0,3,0,3,0,2,1,0,0,0,3,0,1,2,3,0,1,2,3,0,3,0,2,1,2,1,3,0
