State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Adavikothuru,CHITTOOR,NAGARI - 4773,Adavikothuru,0,6,33,21,12,6,19,13,7,1,6,32,0,0,39,39,1,29,10,25,14,24,15,37,1,36,3,28,11
Agaram,CHITTOOR,NAGARI - 4773,Agaram,0,4,9,8,5,0,7,4,2,0,6,7,0,0,13,13,0,9,4,8,5,9,4,12,0,11,2,8,5
Damarapakam,CHITTOOR,NAGARI - 4773,Damarapakam,0,1,1,0,2,0,0,1,1,0,1,1,0,0,2,2,0,1,1,1,1,1,1,2,0,2,0,1,1
EKAMBARAKUPPAM,CHITTOOR,NAGARI - 4773,EKAMBARAKUPPAM,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1
Gundrajukuppam (R),CHITTOOR,NAGARI - 4773,Gundrajukuppam (R),1,3,7,7,3,1,6,3,2,1,3,7,0,0,11,11,0,9,2,7,4,9,2,11,0,11,0,9,2
KAKAVEDU,CHITTOOR,NAGARI - 4773,KAKAVEDU,0,3,5,5,3,0,5,3,0,0,3,5,0,0,8,8,0,7,1,6,2,6,2,8,0,8,0,5,3
Kannikapuram,CHITTOOR,NAGARI - 4773,Kannikapuram,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
Mittapalem,CHITTOOR,NAGARI - 4773,Mittapalem,0,1,4,3,0,2,3,0,2,0,1,4,0,0,5,5,0,3,2,3,2,4,1,5,0,5,0,5,0
Mudipalle,CHITTOOR,NAGARI - 4773,Mudipalle,0,1,8,6,2,1,8,1,0,0,0,9,0,0,9,9,0,8,1,6,3,6,3,8,0,9,0,6,3
Nagarajukuppam,CHITTOOR,NAGARI - 4773,Nagarajukuppam,0,0,6,2,4,0,6,0,0,0,0,4,0,0,6,6,0,5,1,6,0,3,3,6,0,6,0,4,2
NAGARI,CHITTOOR,NAGARI - 4773,NAGARI,1,4,3,2,4,2,2,0,6,1,4,3,0,0,8,8,0,0,8,0,8,5,3,8,0,8,0,6,2
NETTHAMKANDRIGA,CHITTOOR,NAGARI - 4773,NETTHAMKANDRIGA,0,0,2,2,0,0,2,0,0,0,0,2,0,0,2,2,0,1,1,1,1,2,0,2,0,2,0,2,0
Oranthangal Gollakuppam,CHITTOOR,NAGARI - 4773,Oranthangal Gollakuppam,0,0,3,3,0,0,1,1,1,0,0,3,0,0,3,3,0,3,0,3,0,1,2,3,0,3,0,3,0
SALVAPATTEDA,CHITTOOR,NAGARI - 4773,SALVAPATTEDA,0,1,1,2,0,0,2,0,0,0,1,1,0,0,2,2,0,1,1,1,1,1,0,2,0,2,0,2,0
Saraswathivilasapuram,CHITTOOR,NAGARI - 4773,Saraswathivilasapuram,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
Srinivasapuram,CHITTOOR,NAGARI - 4773,Srinivasapuram,0,1,5,5,1,0,4,1,1,0,0,6,0,0,6,6,0,6,0,4,2,5,1,6,0,5,1,5,1
Taduku,CHITTOOR,NAGARI - 4773,Taduku,0,1,1,1,1,0,0,1,1,0,0,2,0,0,2,2,0,1,1,1,1,1,1,2,0,2,0,2,0
Therani (R),CHITTOOR,NAGARI - 4773,Therani (R),0,0,11,9,2,0,10,0,1,0,0,11,0,0,11,11,0,9,2,5,6,8,3,10,0,11,0,8,3
TIRUMALARAJUKANDRIGA,CHITTOOR,NAGARI - 4773,TIRUMALARAJUKANDRIGA,0,0,4,3,1,0,2,0,2,0,0,4,0,0,4,4,0,3,1,2,2,3,1,4,0,4,0,3,1
Veerakaverirajupuram,CHITTOOR,NAGARI - 4773,Veerakaverirajupuram,0,2,1,3,0,0,3,0,0,0,2,1,0,0,3,3,0,3,0,1,2,3,0,3,0,2,1,2,1
Velavadi,CHITTOOR,NAGARI - 4773,Velavadi,0,2,4,4,1,1,6,0,0,0,2,4,0,0,6,6,0,5,1,6,0,6,0,5,0,6,0,5,1
Venkatanarasimha -Rajuvaripet,CHITTOOR,NAGARI - 4773,Venkatanarasimha -Rajuvaripet,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
