State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Agaram,CHITTOOR,NINDRA - 4776,Agaram,0,5,17,15,6,1,9,7,6,0,6,16,12,0,10,22,0,19,3,12,10,17,5,22,0,22,0,14,8
Arur,CHITTOOR,NINDRA - 4776,Arur,0,2,4,5,1,0,3,2,1,0,1,5,0,0,6,6,0,4,2,4,2,3,3,5,0,6,0,4,2
Athur,CHITTOOR,NINDRA - 4776,Athur,0,2,6,5,3,0,5,3,0,0,2,6,0,0,8,8,0,5,3,6,2,6,2,8,0,8,0,6,2
Chavarambakam,CHITTOOR,NINDRA - 4776,Chavarambakam,0,0,3,2,1,0,0,1,2,0,0,3,0,0,3,3,0,3,0,2,1,0,3,3,0,3,0,0,3
Elakatur,CHITTOOR,NINDRA - 4776,Elakatur,0,0,2,2,0,0,1,0,1,0,0,2,0,0,2,2,0,1,1,1,1,2,0,2,0,2,0,2,0
Iruguvai,CHITTOOR,NINDRA - 4776,Iruguvai,0,2,8,6,3,1,5,1,4,0,2,8,0,0,10,10,0,6,4,4,6,7,3,10,0,10,0,8,2
Kacharavedu,CHITTOOR,NINDRA - 4776,Kacharavedu,0,3,5,5,3,0,5,1,2,0,3,5,0,0,8,8,0,6,2,4,4,8,0,8,0,8,0,8,0
Kavanur,CHITTOOR,NINDRA - 4776,Kavanur,0,3,7,7,3,0,5,0,5,0,3,7,0,0,10,10,0,6,4,7,3,8,2,9,1,10,0,7,3
Koppedu Acharyula Khandriga,CHITTOOR,NINDRA - 4776,Koppedu Acharyula Khandriga,0,3,8,8,3,0,5,2,4,0,3,8,0,0,11,11,0,7,4,8,3,8,3,11,0,11,0,9,2
Kunama Raju Palem,CHITTOOR,NINDRA - 4776,Kunama Raju Palem,0,2,0,2,0,0,2,0,0,0,2,0,0,0,2,2,0,1,1,2,0,2,0,2,0,2,0,2,0
Nindra,CHITTOOR,NINDRA - 4776,Nindra,0,5,12,14,2,1,5,2,10,0,5,12,0,0,17,16,1,12,5,12,5,13,4,16,1,17,0,13,4
Padiri,CHITTOOR,NINDRA - 4776,Padiri,0,4,8,9,3,0,5,3,4,0,4,8,0,0,12,12,0,9,3,7,5,9,3,12,0,12,0,9,3
