State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Allipoolagunta,CHITTOOR,PALASAMUDRAM - 4779,Allipoolagunta,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0
Amudala,CHITTOOR,PALASAMUDRAM - 4779,Amudala,0,4,11,7,7,1,10,4,1,0,5,10,0,0,15,15,0,9,6,10,5,12,3,11,1,15,0,14,1
Amudalaputhur,CHITTOOR,PALASAMUDRAM - 4779,Amudalaputhur,0,3,7,3,4,3,9,1,0,0,3,7,0,0,10,10,0,9,1,7,3,10,0,9,0,10,0,8,2
Balakrishnapuram,CHITTOOR,PALASAMUDRAM - 4779,Balakrishnapuram,0,2,5,5,2,0,7,0,0,1,3,3,0,0,7,7,0,6,1,3,4,6,1,5,0,7,0,7,0
Kaverirajupuram,CHITTOOR,PALASAMUDRAM - 4779,Kaverirajupuram,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1
Krishnajammapuram,CHITTOOR,PALASAMUDRAM - 4779,Krishnajammapuram,0,4,32,12,18,6,26,9,1,0,4,32,0,0,36,36,0,25,11,25,11,28,8,34,2,37,0,28,8
Lakshminarasimha Puram,CHITTOOR,PALASAMUDRAM - 4779,Lakshminarasimha Puram,0,0,4,2,1,1,4,0,0,0,0,4,0,0,4,4,0,2,2,3,1,4,0,3,0,4,0,3,1
Narasimhapuram @ A.Khandriga,CHITTOOR,PALASAMUDRAM - 4779,Narasimhapuram @ A.Khandriga,0,2,0,1,1,0,2,0,0,0,2,0,0,0,2,2,0,2,0,1,1,2,0,2,0,2,0,2,0
Palasamudram,CHITTOOR,PALASAMUDRAM - 4779,Palasamudram,0,0,18,6,8,4,17,1,0,0,1,17,0,0,18,18,0,6,12,15,3,16,2,17,0,18,0,14,4
Ramakrishnapuram,CHITTOOR,PALASAMUDRAM - 4779,Ramakrishnapuram,0,2,2,1,0,3,2,0,2,0,2,2,0,0,4,4,0,3,1,1,3,2,2,3,1,4,0,2,2
Srikaverirajupuram,CHITTOOR,PALASAMUDRAM - 4779,Srikaverirajupuram,0,2,17,4,10,5,12,5,2,0,3,16,0,0,19,18,1,16,3,13,6,16,3,15,3,19,0,18,1
Vanadurgapuram,CHITTOOR,PALASAMUDRAM - 4779,Vanadurgapuram,0,0,16,4,9,3,7,7,2,0,0,16,3,0,13,16,0,10,6,11,5,12,4,15,1,16,0,13,3
Vengalarajukuppam,CHITTOOR,PALASAMUDRAM - 4779,Vengalarajukuppam,0,6,20,1,15,10,16,8,2,0,5,21,0,0,26,26,0,17,9,16,10,21,4,22,2,26,0,18,8
