State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Appinapalle,CHITTOOR,PEDDAPANJANI - 4781,Appinapalle,0,3,15,15,2,1,9,9,0,0,4,13,1,0,17,18,0,17,1,10,8,17,1,16,2,16,2,16,2
Battamdoddi,CHITTOOR,PEDDAPANJANI - 4781,Battamdoddi,0,10,17,9,10,8,7,18,2,0,10,17,0,0,27,27,0,22,5,21,6,22,5,21,6,23,4,23,4
Bommarajupalle,CHITTOOR,PEDDAPANJANI - 4781,Bommarajupalle,0,3,16,9,6,4,7,12,0,0,3,16,0,0,19,19,0,15,4,8,11,14,5,17,2,17,2,18,1
Chalamangalam,CHITTOOR,PEDDAPANJANI - 4781,Chalamangalam,0,12,11,18,4,1,6,10,7,1,10,12,0,0,23,23,0,19,4,16,7,19,4,15,8,18,5,21,2
Chamaneru,CHITTOOR,PEDDAPANJANI - 4781,Chamaneru,1,4,3,1,6,1,3,3,2,0,5,3,0,0,8,8,0,7,1,7,1,5,3,6,2,7,1,7,1
Gamkonda,CHITTOOR,PEDDAPANJANI - 4781,Gamkonda,0,2,16,11,4,3,1,13,4,0,2,16,0,0,18,18,0,12,6,15,3,16,2,18,0,15,3,16,2
Karasanapalle,CHITTOOR,PEDDAPANJANI - 4781,Karasanapalle,0,11,39,36,9,5,14,24,12,0,15,35,0,2,48,50,0,46,4,44,6,35,15,46,4,47,3,47,3
Kogileru,CHITTOOR,PEDDAPANJANI - 4781,Kogileru,0,3,17,8,5,7,1,12,7,0,4,16,0,0,20,20,0,18,2,9,11,12,8,17,3,14,6,19,1
Kolathur,CHITTOOR,PEDDAPANJANI - 4781,Kolathur,0,9,11,20,0,0,9,6,5,0,10,10,1,0,19,20,0,16,4,15,5,11,9,17,3,16,4,17,3
Mudarampalle,CHITTOOR,PEDDAPANJANI - 4781,Mudarampalle,0,4,1,3,1,1,3,2,0,0,4,1,0,0,5,5,0,3,2,2,3,3,2,4,1,5,0,3,2
Muthukur,CHITTOOR,PEDDAPANJANI - 4781,Muthukur,0,12,26,13,18,7,15,15,8,1,11,26,1,3,34,38,0,25,13,19,19,31,7,29,9,31,7,33,5
Nagireddipalle,CHITTOOR,PEDDAPANJANI - 4781,Nagireddipalle,0,9,15,15,7,2,7,13,4,0,8,16,0,2,22,24,0,20,4,17,7,20,4,21,3,18,6,22,2
Nidigunta,CHITTOOR,PEDDAPANJANI - 4781,Nidigunta,0,4,4,3,5,0,4,4,0,2,2,4,0,0,8,8,0,7,1,4,4,6,2,8,0,7,1,6,2
Peddakappalle,CHITTOOR,PEDDAPANJANI - 4781,Peddakappalle,0,7,13,12,7,1,4,13,3,0,8,12,0,2,18,20,0,16,4,14,6,16,4,19,1,17,3,15,5
Peddapanjani,CHITTOOR,PEDDAPANJANI - 4781,Peddapanjani,0,4,13,15,1,1,6,11,0,0,4,13,0,0,17,17,0,14,3,6,11,8,9,14,3,15,2,15,2
Peddavelagatur,CHITTOOR,PEDDAPANJANI - 4781,Peddavelagatur,0,10,10,13,6,1,7,13,0,0,10,10,0,1,19,20,0,17,3,9,11,17,3,15,5,16,4,18,2
Rayalapeta,CHITTOOR,PEDDAPANJANI - 4781,Rayalapeta,0,3,9,7,5,0,1,7,4,0,4,8,0,8,4,12,0,12,0,10,2,8,4,10,2,10,2,9,3
Sankarayalapeta,CHITTOOR,PEDDAPANJANI - 4781,Sankarayalapeta,0,11,5,13,3,0,7,9,0,0,12,4,0,0,16,16,0,14,2,8,8,15,1,15,1,13,3,14,2
Suddagundlapalle,CHITTOOR,PEDDAPANJANI - 4781,Suddagundlapalle,0,4,2,4,2,0,2,4,0,2,2,2,0,0,6,6,0,6,0,5,1,5,1,5,1,4,2,4,2
Thurlapalle,CHITTOOR,PEDDAPANJANI - 4781,Thurlapalle,0,5,14,9,4,6,5,14,0,0,6,13,0,0,19,19,0,10,9,11,8,10,9,16,3,16,3,17,2
Veerapalle,CHITTOOR,PEDDAPANJANI - 4781,Veerapalle,0,10,6,13,2,1,9,7,0,2,8,6,0,0,16,16,0,13,3,11,5,12,4,12,4,12,4,13,3
