State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Ayyavandlapalle,CHITTOOR,PULICHERLA H/O REDDIVARIPALLE - 4786,Ayyavandlapalle,0,5,28,22,7,4,32,1,0,0,5,28,0,2,31,33,0,28,5,23,10,28,5,27,3,32,0,27,5
Bandaruvaripalle,CHITTOOR,PULICHERLA H/O REDDIVARIPALLE - 4786,Bandaruvaripalle,1,12,21,25,4,5,30,3,1,2,13,19,0,0,34,34,0,29,5,23,11,28,6,31,3,34,0,30,4
Bodireddigaripalle,CHITTOOR,PULICHERLA H/O REDDIVARIPALLE - 4786,Bodireddigaripalle,0,4,12,8,4,4,14,0,2,0,3,13,0,0,16,16,0,11,5,12,4,13,3,14,2,16,0,13,3
Devalampet,CHITTOOR,PULICHERLA H/O REDDIVARIPALLE - 4786,Devalampet,0,8,20,9,14,5,27,0,1,0,7,21,0,0,28,27,1,25,3,22,6,22,6,26,2,28,0,23,5
E.Ramireddigari Palle,CHITTOOR,PULICHERLA H/O REDDIVARIPALLE - 4786,E.Ramireddigari Palle,0,8,21,12,12,5,28,0,1,0,7,22,0,1,28,29,0,21,8,23,6,25,4,25,3,29,0,26,3
Gaddamvaripalle,CHITTOOR,PULICHERLA H/O REDDIVARIPALLE - 4786,Gaddamvaripalle,0,4,10,6,4,4,14,0,0,0,4,10,3,0,11,14,0,12,2,11,3,12,2,13,1,14,0,11,3
Kallur,CHITTOOR,PULICHERLA H/O REDDIVARIPALLE - 4786,Kallur,1,7,25,12,12,9,29,0,4,1,7,25,0,1,32,33,0,27,6,26,8,29,5,32,2,32,1,29,5
Kavetigaripalle,CHITTOOR,PULICHERLA H/O REDDIVARIPALLE - 4786,Kavetigaripalle,0,5,21,10,10,6,25,1,0,0,6,20,0,0,26,26,0,24,2,20,6,19,7,24,2,26,0,21,5
Mangalampeta,CHITTOOR,PULICHERLA H/O REDDIVARIPALLE - 4786,Mangalampeta,0,4,9,3,6,4,12,1,0,0,2,11,0,0,13,12,1,11,2,6,7,11,2,13,0,13,0,13,0
Ramireddigaripalle,CHITTOOR,PULICHERLA H/O REDDIVARIPALLE - 4786,Ramireddigaripalle,0,7,5,6,2,4,12,0,0,0,7,5,1,0,11,12,0,12,0,10,2,11,1,12,0,12,0,12,0
Rayavaripalle,CHITTOOR,PULICHERLA H/O REDDIVARIPALLE - 4786,Rayavaripalle,0,5,7,4,6,2,12,0,0,0,5,7,0,0,12,12,0,8,4,6,6,11,1,10,2,12,0,12,0
Reddivaripalle,CHITTOOR,PULICHERLA H/O REDDIVARIPALLE - 4786,Reddivaripalle,0,1,30,13,11,7,29,1,1,0,6,25,0,1,30,30,1,24,7,25,6,26,5,29,2,31,0,23,8
Vallivetivaripalle,CHITTOOR,PULICHERLA H/O REDDIVARIPALLE - 4786,Vallivetivaripalle,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Venkatadasari Palle,CHITTOOR,PULICHERLA H/O REDDIVARIPALLE - 4786,Venkatadasari Palle,0,3,27,13,10,7,29,0,1,0,4,26,1,0,29,30,0,24,6,20,10,26,4,27,3,30,0,30,0
Yellankivaripallle,CHITTOOR,PULICHERLA H/O REDDIVARIPALLE - 4786,Yellankivaripallle,0,1,3,2,2,0,4,0,0,0,1,3,0,0,3,3,0,4,0,2,2,3,1,4,0,4,0,4,0
