State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Aradigunta,CHITTOOR,PUNGANUR - 4787,Aradigunta,0,10,4,13,1,0,2,9,3,0,10,4,0,0,14,14,0,8,6,10,4,10,4,14,0,13,1,14,0
Bandlapalle,CHITTOOR,PUNGANUR - 4787,Bandlapalle,0,2,11,11,2,0,2,8,3,1,2,10,0,1,12,12,1,11,2,12,1,12,1,13,0,13,0,13,0
Bheemaganipalle,CHITTOOR,PUNGANUR - 4787,Bheemaganipalle,0,14,10,21,3,0,13,10,1,7,8,9,0,0,24,24,0,19,5,15,9,19,5,24,0,23,1,16,8
Bodevaripalle,CHITTOOR,PUNGANUR - 4787,Bodevaripalle,0,8,8,15,2,0,14,3,0,4,4,8,0,0,16,16,0,16,1,5,12,12,5,17,0,16,1,17,0
Chadalla,CHITTOOR,PUNGANUR - 4787,Chadalla,0,11,10,14,6,1,2,18,1,5,6,10,0,0,21,21,0,19,2,18,3,15,6,21,0,21,0,15,6
Chandramakula Palle,CHITTOOR,PUNGANUR - 4787,Chandramakula Palle,0,8,13,21,0,0,12,9,0,3,6,12,0,0,21,21,0,17,4,9,12,18,3,22,0,19,2,20,2
Ethur,CHITTOOR,PUNGANUR - 4787,Ethur,0,5,14,12,4,3,7,8,4,0,5,14,0,1,18,19,0,14,5,10,9,11,8,19,0,16,3,18,1
Magandlapalle,CHITTOOR,PUNGANUR - 4787,Magandlapalle,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0
Mangalam,CHITTOOR,PUNGANUR - 4787,Mangalam,0,0,2,2,0,0,1,1,0,0,0,2,0,0,2,2,0,2,0,2,0,1,1,2,0,2,0,0,2
Melumdoddi,CHITTOOR,PUNGANUR - 4787,Melumdoddi,0,0,2,0,2,0,0,1,1,0,1,1,0,0,2,2,0,2,0,2,0,2,0,2,0,2,0,1,1
MELUPATLA,CHITTOOR,PUNGANUR - 4787,MELUPATLA,0,12,15,25,2,0,2,24,1,6,6,15,0,0,27,27,0,21,6,5,22,13,14,27,0,26,1,22,5
Mittachinthavari Palle,CHITTOOR,PUNGANUR - 4787,Mittachinthavari Palle,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Nekkondi,CHITTOOR,PUNGANUR - 4787,Nekkondi,0,4,21,10,13,2,3,15,7,2,2,21,1,2,22,25,0,21,4,22,3,13,12,23,2,24,1,25,0
Palyampalle,CHITTOOR,PUNGANUR - 4787,Palyampalle,0,5,19,15,6,3,6,12,6,0,7,17,0,2,22,24,0,21,3,9,15,15,9,24,0,23,1,22,2
Punganur (Rural),CHITTOOR,PUNGANUR - 4787,Punganur (Rural),0,60,128,151,32,5,62,91,35,16,46,126,0,10,177,186,1,157,31,130,58,146,42,186,2,169,19,174,14
Raganipalle (Rural),CHITTOOR,PUNGANUR - 4787,Raganipalle (Rural),0,9,11,16,4,0,7,11,2,1,8,11,0,0,20,20,0,15,5,15,5,17,3,19,1,17,3,19,1
Vanamaladinne,CHITTOOR,PUNGANUR - 4787,Vanamaladinne,0,2,4,5,1,0,2,3,1,0,2,4,0,0,6,6,0,5,1,3,3,5,1,6,0,5,1,6,0
