State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Baitapalle,CHITTOOR,PUTHALAPATTU - 4788,Baitapalle,0,7,10,8,6,3,6,7,4,3,5,9,0,0,17,17,0,11,6,14,3,14,3,16,1,15,2,15,2
Chitipiralla,CHITTOOR,PUTHALAPATTU - 4788,Chitipiralla,0,7,8,12,3,0,9,6,0,2,5,8,0,0,15,15,0,12,3,12,3,11,4,15,0,13,2,13,2
Erracheruvupalle,CHITTOOR,PUTHALAPATTU - 4788,Erracheruvupalle,0,10,6,13,2,1,9,7,0,5,5,6,0,0,16,16,0,12,4,8,8,10,6,16,0,14,2,6,10
Goduguchinta,CHITTOOR,PUTHALAPATTU - 4788,Goduguchinta,0,11,8,18,0,1,9,9,1,5,7,7,0,0,19,19,0,14,5,5,14,17,2,18,1,16,3,19,0
Kothakota,CHITTOOR,PUTHALAPATTU - 4788,Kothakota,0,14,11,18,7,0,16,8,1,2,12,11,0,0,25,25,0,19,6,3,22,16,9,22,3,20,5,17,8
Muthirevula,CHITTOOR,PUTHALAPATTU - 4788,Muthirevula,0,7,5,4,7,1,5,6,1,2,5,5,0,0,12,12,0,10,2,9,3,10,2,12,0,11,1,12,0
Oddepalle,CHITTOOR,PUTHALAPATTU - 4788,Oddepalle,0,19,33,22,18,12,20,22,10,11,15,26,0,0,52,51,1,40,12,15,37,33,19,48,3,45,7,39,13
Paturu,CHITTOOR,PUTHALAPATTU - 4788,Paturu,0,2,5,4,2,1,1,6,0,0,2,5,0,1,6,7,0,7,0,6,1,6,1,7,0,5,2,7,0
Peta Agraharam,CHITTOOR,PUTHALAPATTU - 4788,Peta Agraharam,0,8,21,16,9,4,11,15,3,3,5,21,0,0,29,29,0,25,4,17,12,24,5,29,0,23,6,21,8
Polavaram,CHITTOOR,PUTHALAPATTU - 4788,Polavaram,0,4,9,4,7,2,6,7,0,3,2,8,0,0,13,13,0,11,2,8,5,11,2,11,2,10,3,5,8
Potukanuma,CHITTOOR,PUTHALAPATTU - 4788,Potukanuma,0,24,25,26,16,7,32,17,0,10,15,24,0,0,49,49,0,33,16,23,26,35,14,48,1,40,9,23,26
Puthalapattu,CHITTOOR,PUTHALAPATTU - 4788,Puthalapattu,0,6,12,4,10,4,10,7,1,1,5,12,0,0,18,18,0,17,1,8,10,12,6,17,1,15,3,14,4
Thalupulapalle,CHITTOOR,PUTHALAPATTU - 4788,Thalupulapalle,0,13,6,17,2,0,11,8,0,7,6,6,0,0,19,19,0,14,5,6,13,15,4,18,1,15,4,17,2
Thenepalle,CHITTOOR,PUTHALAPATTU - 4788,Thenepalle,0,16,9,16,9,0,9,12,4,4,12,9,0,0,25,25,0,20,5,10,15,13,12,24,1,19,6,9,16
Thippanapalle,CHITTOOR,PUTHALAPATTU - 4788,Thippanapalle,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1
Vavilthota,CHITTOOR,PUTHALAPATTU - 4788,Vavilthota,0,9,11,11,3,6,9,10,1,3,7,10,0,0,20,20,0,18,2,18,2,18,2,20,0,16,4,19,1
Venuthanapalle,CHITTOOR,PUTHALAPATTU - 4788,Venuthanapalle,0,2,2,2,2,0,3,0,1,1,1,2,0,0,4,4,0,3,1,3,1,3,1,4,0,3,1,4,0
Vepanapalle,CHITTOOR,PUTHALAPATTU - 4788,Vepanapalle,0,11,19,27,2,1,13,12,5,5,6,19,0,0,30,30,0,19,11,17,13,25,5,24,6,21,9,24,6
