State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Baipparedlapalle,CHITTOOR,RAMAKUPPAM - 4791,Baipparedlapalle,0,5,15,17,2,1,13,6,1,0,6,14,0,3,17,20,0,16,4,17,3,17,3,20,0,18,2,19,1
Balaobanapalle,CHITTOOR,RAMAKUPPAM - 4791,Balaobanapalle,0,3,29,32,0,0,14,14,4,0,2,30,0,0,32,32,0,26,6,29,3,24,8,31,1,30,2,31,1
Balla,CHITTOOR,RAMAKUPPAM - 4791,Balla,0,2,24,20,3,3,9,14,3,1,1,24,0,5,21,26,0,20,6,22,4,20,6,26,0,25,1,23,3
Bandarlapalle,CHITTOOR,RAMAKUPPAM - 4791,Bandarlapalle,0,3,21,12,8,4,1,20,3,0,3,21,0,0,24,24,0,18,6,20,4,19,5,23,0,23,1,22,2
Battuvaripalle,CHITTOOR,RAMAKUPPAM - 4791,Battuvaripalle,0,6,5,10,1,0,8,3,0,1,6,4,0,0,11,11,0,10,1,5,6,10,1,11,0,10,1,11,0
Cheldiganipalle,CHITTOOR,RAMAKUPPAM - 4791,Cheldiganipalle,0,7,13,16,3,1,5,13,2,1,6,13,0,0,20,20,0,17,3,17,3,16,4,20,0,19,1,19,1
Giddapalle,CHITTOOR,RAMAKUPPAM - 4791,Giddapalle,0,1,15,7,9,0,11,4,1,0,2,14,0,0,16,16,0,16,0,10,6,12,4,16,0,14,2,15,1
Gorivimakulapalle,CHITTOOR,RAMAKUPPAM - 4791,Gorivimakulapalle,0,6,14,17,2,1,9,10,1,1,6,13,0,0,19,20,0,19,1,15,5,17,3,19,1,18,2,18,2
Govindapalle,CHITTOOR,RAMAKUPPAM - 4791,Govindapalle,0,1,2,3,0,0,1,1,1,0,1,2,0,0,3,3,0,2,1,3,0,3,0,3,0,3,0,3,0
Jowkupalle,CHITTOOR,RAMAKUPPAM - 4791,Jowkupalle,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Kempasamudram,CHITTOOR,RAMAKUPPAM - 4791,Kempasamudram,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Kenchanaballa,CHITTOOR,RAMAKUPPAM - 4791,Kenchanaballa,0,0,4,3,1,0,1,3,0,0,1,3,0,0,4,4,0,3,1,3,1,4,0,4,0,4,0,4,0
Killakupodu,CHITTOOR,RAMAKUPPAM - 4791,Killakupodu,0,3,6,6,3,0,4,5,0,0,3,6,0,0,9,9,0,9,0,7,2,9,0,9,0,9,0,8,1
Kollupalle,CHITTOOR,RAMAKUPPAM - 4791,Kollupalle,0,1,1,1,1,0,0,2,0,0,1,1,0,0,2,2,0,2,0,2,0,1,1,2,0,2,0,2,0
Konganapalle,CHITTOOR,RAMAKUPPAM - 4791,Konganapalle,0,2,11,11,2,0,5,8,0,0,3,10,1,0,12,13,0,12,1,10,3,10,3,12,1,11,2,11,2
Manendram,CHITTOOR,RAMAKUPPAM - 4791,Manendram,0,5,13,12,5,1,8,8,2,2,5,11,0,1,17,18,0,15,3,15,3,14,4,18,0,17,1,17,1
Muddanapalle,CHITTOOR,RAMAKUPPAM - 4791,Muddanapalle,0,4,13,10,2,5,10,7,0,0,4,13,0,0,17,17,0,15,2,14,3,12,5,17,0,15,2,16,1
Pacharumakula Palle,CHITTOOR,RAMAKUPPAM - 4791,Pacharumakula Palle,0,2,1,3,0,0,2,1,0,0,2,1,0,0,3,3,0,1,2,3,0,3,0,3,0,2,1,3,0
Pandyalamadugu,CHITTOOR,RAMAKUPPAM - 4791,Pandyalamadugu,0,4,34,27,9,2,6,29,3,1,3,34,1,0,37,38,0,33,5,21,17,21,17,37,1,34,4,35,3
Peddaganur,CHITTOOR,RAMAKUPPAM - 4791,Peddaganur,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Peddur,CHITTOOR,RAMAKUPPAM - 4791,Peddur,0,6,15,12,9,0,16,5,0,1,6,14,0,0,21,21,0,16,5,16,5,16,5,21,0,19,2,19,2
Ramakuppam,CHITTOOR,RAMAKUPPAM - 4791,Ramakuppam,0,0,16,7,8,1,9,7,0,0,2,14,0,0,16,16,0,10,6,8,8,6,10,16,0,15,1,15,1
Singasamudram,CHITTOOR,RAMAKUPPAM - 4791,Singasamudram,0,4,8,11,1,0,3,8,1,1,3,8,0,3,9,12,0,11,1,10,2,10,2,12,0,12,0,11,1
Unisigani Palle,CHITTOOR,RAMAKUPPAM - 4791,Unisigani Palle,0,2,13,10,2,3,5,8,2,0,1,14,0,0,15,15,0,11,4,14,1,13,2,12,2,14,1,13,2
Veeranamala,CHITTOOR,RAMAKUPPAM - 4791,Veeranamala,0,3,2,5,0,0,1,4,0,0,3,2,0,0,5,5,0,5,0,5,0,5,0,5,0,5,0,5,0
Vijalapuram,CHITTOOR,RAMAKUPPAM - 4791,Vijalapuram,0,1,1,2,0,0,0,2,0,0,1,1,0,0,2,2,0,2,0,1,1,1,1,2,0,2,0,1,1
