State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Ammagaripalle,CHITTOOR,SODAM - 4797,Ammagaripalle,0,15,18,24,7,2,14,17,2,3,13,17,0,0,33,33,0,26,7,30,3,27,6,32,1,32,1,33,0
Booragamanda,CHITTOOR,SODAM - 4797,Booragamanda,0,13,18,8,20,3,11,19,1,0,13,18,0,0,31,31,0,28,3,13,18,29,2,31,0,27,4,23,8
Cherukuvaripalle,CHITTOOR,SODAM - 4797,Cherukuvaripalle,0,20,18,27,9,2,23,15,0,7,13,18,0,1,37,37,1,32,6,29,9,22,16,38,0,35,3,32,6
Errathivaripalle,CHITTOOR,SODAM - 4797,Errathivaripalle,0,9,25,16,16,2,22,10,2,7,2,25,0,0,34,34,0,31,3,16,18,34,0,32,2,29,5,29,5
Khambhamvaripalle,CHITTOOR,SODAM - 4797,Khambhamvaripalle,0,4,23,13,5,9,7,18,2,2,3,22,0,8,19,27,0,23,4,26,1,8,19,27,0,24,3,27,0
Nadigadda,CHITTOOR,SODAM - 4797,Nadigadda,0,1,2,2,1,0,0,2,1,0,1,2,0,0,3,3,0,3,0,3,0,3,0,3,0,3,0,3,0
Palamanda,CHITTOOR,SODAM - 4797,Palamanda,0,8,14,9,9,4,10,10,2,3,5,14,0,0,22,22,0,18,4,14,8,13,9,22,0,21,1,18,4
Sodam,CHITTOOR,SODAM - 4797,Sodam,0,10,45,18,17,20,9,42,4,3,15,37,0,5,50,55,0,46,9,39,16,45,10,52,3,52,3,52,3
Thimmanayanipalle,CHITTOOR,SODAM - 4797,Thimmanayanipalle,0,2,1,3,0,0,0,3,0,0,2,1,0,0,3,3,0,3,0,3,0,3,0,3,0,3,0,3,0
Vootupalle,CHITTOOR,SODAM - 4797,Vootupalle,0,0,5,2,3,0,2,3,0,0,1,4,0,0,5,5,0,4,1,1,4,3,2,4,0,5,0,5,0
