State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Avulapalle,CHITTOOR,SOMALA - 4798,Avulapalle,0,5,13,10,7,1,8,8,2,1,4,13,0,0,18,18,0,15,3,10,8,15,3,18,0,17,1,11,7
Irikipenta,CHITTOOR,SOMALA - 4798,Irikipenta,1,9,15,23,1,1,15,9,1,3,7,15,0,0,25,25,0,16,9,20,5,20,5,25,0,23,2,20,5
Kamireddivaripalle,CHITTOOR,SOMALA - 4798,Kamireddivaripalle,0,2,4,6,0,0,5,0,1,0,2,4,0,0,6,6,0,2,4,6,0,6,0,6,0,6,0,6,0
Kandur,CHITTOOR,SOMALA - 4798,Kandur,0,14,16,20,6,4,14,15,1,2,11,17,0,0,30,30,0,22,8,22,8,24,6,28,1,26,4,27,3
Nanjampeta @ Chandambylu,CHITTOOR,SOMALA - 4798,Nanjampeta @ Chandambylu,0,18,38,34,9,13,13,36,7,0,17,39,0,0,56,56,0,45,11,44,12,43,13,55,0,50,6,49,7
Nellimanda,CHITTOOR,SOMALA - 4798,Nellimanda,0,2,22,21,3,0,6,14,4,0,2,22,0,1,23,24,0,18,6,22,2,19,5,23,1,20,4,19,5
Peddauppara Palle,CHITTOOR,SOMALA - 4798,Peddauppara Palle,2,11,7,4,9,7,3,13,4,0,11,9,0,0,20,20,0,18,2,20,0,20,0,19,1,19,1,19,1
S. Nadim Palle,CHITTOOR,SOMALA - 4798,S. Nadim Palle,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
Somala,CHITTOOR,SOMALA - 4798,Somala,0,16,28,34,8,2,21,17,6,0,11,33,0,1,43,44,0,35,9,37,7,38,6,44,0,41,3,40,4
Thamminayanipalle,CHITTOOR,SOMALA - 4798,Thamminayanipalle,0,8,25,24,4,5,12,18,3,0,8,25,0,1,32,33,0,25,8,22,11,27,6,32,1,30,3,32,1
Upparapalle,CHITTOOR,SOMALA - 4798,Upparapalle,1,7,22,14,9,7,6,17,7,0,8,22,0,3,27,30,0,24,6,23,7,21,9,28,2,27,3,29,1
Valligatla,CHITTOOR,SOMALA - 4798,Valligatla,1,4,18,16,5,2,15,8,0,1,2,19,0,3,20,23,0,18,5,18,5,15,8,22,1,21,2,20,3
