State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Chillamakulapalle,CHITTOOR,SRIRANGARAJAPURAM - 4800,Chillamakulapalle,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
China Thayyur,CHITTOOR,SRIRANGARAJAPURAM - 4800,China Thayyur,0,9,7,7,4,5,9,7,0,7,2,7,0,0,16,16,0,15,1,5,11,14,2,16,0,14,2,15,1
Giddamakarajapuram,CHITTOOR,SRIRANGARAJAPURAM - 4800,Giddamakarajapuram,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1
Katikapalle,CHITTOOR,SRIRANGARAJAPURAM - 4800,Katikapalle,0,3,21,16,5,3,12,9,3,0,3,21,0,0,24,24,0,19,5,7,17,13,11,24,0,23,1,16,8
Kondrajupuram,CHITTOOR,SRIRANGARAJAPURAM - 4800,Kondrajupuram,0,5,14,16,3,0,9,10,0,0,5,14,0,0,19,19,0,17,2,8,11,11,8,19,0,18,1,15,4
Kothapalle,CHITTOOR,SRIRANGARAJAPURAM - 4800,Kothapalle,0,6,15,6,12,3,13,8,0,2,5,14,0,0,21,21,0,16,5,15,6,14,7,21,0,19,2,21,0
Muddikuppam,CHITTOOR,SRIRANGARAJAPURAM - 4800,Muddikuppam,0,10,10,4,11,5,15,5,0,7,3,10,0,0,19,19,0,17,3,11,10,18,2,21,0,20,0,21,0
Nelavoy,CHITTOOR,SRIRANGARAJAPURAM - 4800,Nelavoy,0,12,10,6,12,4,2,17,3,5,7,10,0,0,22,22,0,20,2,14,8,16,6,21,1,21,1,18,4
Padmapuram,CHITTOOR,SRIRANGARAJAPURAM - 4800,Padmapuram,0,11,10,7,6,8,16,5,0,3,9,9,0,0,21,21,0,18,3,20,1,17,4,20,1,19,2,21,0
Pillarikuppam,CHITTOOR,SRIRANGARAJAPURAM - 4800,Pillarikuppam,0,10,16,7,7,12,15,10,1,5,7,14,0,0,26,26,0,22,4,10,16,14,12,26,0,26,0,20,6
Pullur,CHITTOOR,SRIRANGARAJAPURAM - 4800,Pullur,0,3,24,6,6,15,2,24,1,0,3,24,0,0,27,27,0,20,7,23,4,16,11,27,0,24,3,26,1
Srirangarajapuram,CHITTOOR,SRIRANGARAJAPURAM - 4800,Srirangarajapuram,0,6,20,10,9,7,14,12,0,0,7,19,0,0,26,25,1,21,5,6,20,23,3,26,0,24,2,24,2
Thatimakulapalle,CHITTOOR,SRIRANGARAJAPURAM - 4800,Thatimakulapalle,0,11,12,5,9,9,9,12,2,1,10,12,0,0,23,23,0,18,5,12,11,13,10,23,0,22,1,21,2
Venkatapuram,CHITTOOR,SRIRANGARAJAPURAM - 4800,Venkatapuram,0,3,19,5,13,4,11,11,0,0,1,21,0,0,22,22,0,18,4,15,7,20,2,22,0,20,2,22,0
Vilasavarahapuram,CHITTOOR,SRIRANGARAJAPURAM - 4800,Vilasavarahapuram,0,7,5,5,6,1,5,7,0,1,6,5,0,0,12,12,0,11,1,7,5,8,4,12,0,12,0,12,0
