State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Bairupalle,CHITTOOR,VENKATAGIRIKOTA - 4810,Bairupalle,0,3,23,18,3,5,9,16,1,0,3,23,1,0,25,26,0,24,2,19,7,20,6,25,1,25,1,24,2
Bodiguttapalle,CHITTOOR,VENKATAGIRIKOTA - 4810,Bodiguttapalle,0,5,21,22,4,0,15,9,2,0,11,15,0,0,26,26,0,25,1,21,5,18,8,25,1,23,3,24,2
Boya Chinnaganna Palle,CHITTOOR,VENKATAGIRIKOTA - 4810,Boya Chinnaganna Palle,0,1,24,15,8,2,13,6,6,0,2,23,0,1,24,25,0,25,0,17,8,18,7,25,0,24,1,23,2
Chintamakulapalle,CHITTOOR,VENKATAGIRIKOTA - 4810,Chintamakulapalle,0,21,34,11,19,25,10,43,2,2,17,36,1,0,54,55,0,48,7,20,35,28,27,55,0,52,3,54,1
Gonumakulapalle,CHITTOOR,VENKATAGIRIKOTA - 4810,Gonumakulapalle,0,3,24,15,11,1,17,8,2,0,5,22,1,0,26,27,0,25,2,19,8,18,9,27,0,24,3,24,3
Gudipalle,CHITTOOR,VENKATAGIRIKOTA - 4810,Gudipalle,0,0,5,3,2,0,2,3,0,0,0,5,0,0,5,5,0,3,2,3,2,3,2,5,0,5,0,4,1
Hanumapalle,CHITTOOR,VENKATAGIRIKOTA - 4810,Hanumapalle,0,2,5,3,3,1,4,3,0,0,3,4,0,0,7,7,0,5,2,7,0,5,2,7,0,7,0,7,0
Jounipalle,CHITTOOR,VENKATAGIRIKOTA - 4810,Jounipalle,0,2,26,17,11,0,9,18,1,0,6,22,0,0,28,28,0,24,4,20,8,21,7,28,0,26,2,27,1
Konerugollapalle,CHITTOOR,VENKATAGIRIKOTA - 4810,Konerugollapalle,0,0,4,3,0,1,1,1,2,0,0,4,0,0,4,4,0,3,1,2,2,4,0,4,0,3,1,3,1
Kongatam,CHITTOOR,VENKATAGIRIKOTA - 4810,Kongatam,0,2,19,15,4,2,2,11,8,0,7,14,0,0,21,21,0,20,1,12,9,19,2,21,0,21,0,20,1
Kothakota,CHITTOOR,VENKATAGIRIKOTA - 4810,Kothakota,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Krishnapuram,CHITTOOR,VENKATAGIRIKOTA - 4810,Krishnapuram,0,2,22,10,14,0,15,6,3,0,1,23,0,0,24,24,0,19,5,18,6,19,5,24,0,23,1,22,2
Kumbarlapalle,CHITTOOR,VENKATAGIRIKOTA - 4810,Kumbarlapalle,0,8,18,22,3,1,14,10,2,0,12,14,0,0,26,26,0,21,5,18,8,22,4,26,0,25,1,25,1
Mudaramdoddi,CHITTOOR,VENKATAGIRIKOTA - 4810,Mudaramdoddi,0,12,31,32,11,0,36,7,0,1,20,21,0,0,43,43,0,37,6,32,11,34,9,43,0,40,3,40,3
Nadeetheeram Dasarlapalle,CHITTOOR,VENKATAGIRIKOTA - 4810,Nadeetheeram Dasarlapalle,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
Nernipalle,CHITTOOR,VENKATAGIRIKOTA - 4810,Nernipalle,0,3,21,15,8,1,9,15,0,0,5,19,0,0,24,24,0,22,1,19,5,19,5,24,0,22,2,22,2
Padigalakuppam,CHITTOOR,VENKATAGIRIKOTA - 4810,Padigalakuppam,0,0,19,9,8,2,9,9,1,0,0,19,0,0,19,19,0,18,1,15,4,15,4,19,0,17,2,17,2
Paipalle,CHITTOOR,VENKATAGIRIKOTA - 4810,Paipalle,0,3,18,6,7,8,5,14,2,0,8,13,0,0,21,21,0,17,4,20,1,18,3,21,0,19,2,20,1
Panuganipalle,CHITTOOR,VENKATAGIRIKOTA - 4810,Panuganipalle,0,1,23,10,13,1,5,16,3,0,2,22,0,1,23,24,0,19,5,17,7,18,6,24,0,22,2,22,2
Papepalle,CHITTOOR,VENKATAGIRIKOTA - 4810,Papepalle,0,3,10,9,2,2,7,4,2,2,1,10,0,0,13,13,0,13,0,7,6,9,4,13,0,11,2,12,1
Patrapalle,CHITTOOR,VENKATAGIRIKOTA - 4810,Patrapalle,0,3,20,12,7,4,3,14,6,0,6,17,0,0,23,23,0,22,1,16,7,18,5,23,0,22,1,23,0
Pedda Bharanipalle,CHITTOOR,VENKATAGIRIKOTA - 4810,Pedda Bharanipalle,0,6,20,24,1,1,13,9,4,0,6,20,0,0,26,26,0,23,3,16,10,20,6,26,0,25,1,23,3
S.Bandapalle (Bandapalle),CHITTOOR,VENKATAGIRIKOTA - 4810,S.Bandapalle (Bandapalle),0,3,8,3,7,1,3,7,1,0,4,7,0,0,11,11,0,8,3,6,5,8,3,11,0,10,1,8,3
Sivunikuppam,CHITTOOR,VENKATAGIRIKOTA - 4810,Sivunikuppam,0,0,15,11,1,3,1,11,3,0,1,14,0,0,15,15,0,14,1,11,4,14,1,14,1,14,1,14,1
Thota Kanuma,CHITTOOR,VENKATAGIRIKOTA - 4810,Thota Kanuma,0,2,10,9,3,0,7,5,0,0,3,9,0,1,11,12,0,11,1,9,3,10,2,12,0,11,1,11,1
Venkatagirikota,CHITTOOR,VENKATAGIRIKOTA - 4810,Venkatagirikota,0,1,5,4,0,2,0,6,0,0,1,5,0,0,6,6,0,6,0,5,1,5,1,6,0,6,0,5,1
Vogu,CHITTOOR,VENKATAGIRIKOTA - 4810,Vogu,0,0,12,3,8,1,1,9,2,0,1,11,0,0,12,12,0,9,3,7,5,10,2,12,0,11,1,11,1
Yalakallu,CHITTOOR,VENKATAGIRIKOTA - 4810,Yalakallu,0,4,19,14,7,2,7,15,1,0,7,16,0,0,23,23,0,18,5,19,4,19,4,23,0,21,2,22,1
