State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Alapakam,CHITTOOR,VIJAYAPURAM - 4811,Alapakam,0,4,19,10,11,2,4,15,4,1,3,19,0,0,23,23,0,22,1,18,5,16,7,23,0,19,4,21,2
Illathuru,CHITTOOR,VIJAYAPURAM - 4811,Illathuru,0,2,12,0,2,12,0,8,6,0,2,12,0,0,14,14,0,14,0,10,4,9,5,14,0,13,1,13,1
Jagannadhapuram,CHITTOOR,VIJAYAPURAM - 4811,Jagannadhapuram,0,5,6,4,5,2,2,8,1,3,2,6,0,0,11,11,0,11,0,10,1,9,2,11,0,9,2,11,0
Kaliambakam,CHITTOOR,VIJAYAPURAM - 4811,Kaliambakam,0,6,5,3,6,2,0,9,2,2,4,5,2,0,9,11,0,10,1,3,8,9,2,11,0,11,0,11,0
Kalikapuram,CHITTOOR,VIJAYAPURAM - 4811,Kalikapuram,0,6,5,1,2,8,1,7,3,4,2,5,0,0,11,11,0,11,0,5,6,9,2,11,0,10,1,9,2
Kosala Nagaram,CHITTOOR,VIJAYAPURAM - 4811,Kosala Nagaram,0,9,13,7,10,5,1,19,2,5,5,12,0,0,22,22,0,19,3,20,2,17,5,22,0,20,2,22,0
Kothuru Venkatapuram,CHITTOOR,VIJAYAPURAM - 4811,Kothuru Venkatapuram,1,3,8,3,7,2,1,11,0,1,2,9,0,0,12,12,0,9,3,7,5,6,6,12,0,11,1,10,2
Mangalam,CHITTOOR,VIJAYAPURAM - 4811,Mangalam,0,5,6,3,4,4,2,8,1,4,1,6,1,0,10,11,0,10,1,10,1,10,1,11,0,11,0,11,0
Pannur,CHITTOOR,VIJAYAPURAM - 4811,Pannur,0,4,6,3,1,6,1,8,1,1,3,6,0,0,10,10,0,8,2,9,1,8,2,10,0,9,1,10,0
Vijaya Puram,CHITTOOR,VIJAYAPURAM - 4811,Vijaya Puram,4,9,16,14,13,2,5,7,17,2,8,19,0,6,23,29,0,27,2,26,3,25,4,28,1,27,2,29,0
