State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Bhoomireddipalle,CHITTOOR,YADAMARI - 4812,Bhoomireddipalle,0,4,4,0,3,5,6,2,0,0,4,4,0,0,8,8,0,7,1,8,0,6,2,6,2,8,0,8,0
Bodaguttapalle,CHITTOOR,YADAMARI - 4812,Bodaguttapalle,0,8,7,0,2,13,10,5,0,0,8,7,5,1,9,15,0,4,11,13,2,11,4,15,0,13,2,14,1
Budithireddipalle,CHITTOOR,YADAMARI - 4812,Budithireddipalle,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
Dasarapalle,CHITTOOR,YADAMARI - 4812,Dasarapalle,0,7,11,4,4,10,13,5,0,0,7,11,1,0,17,18,0,8,10,12,6,15,3,17,1,16,2,18,0
Gollapalle,CHITTOOR,YADAMARI - 4812,Gollapalle,0,18,18,2,6,28,20,16,0,0,18,18,0,0,36,36,0,27,9,24,11,27,9,30,4,34,2,31,4
Jangalapalle,CHITTOOR,YADAMARI - 4812,Jangalapalle,0,4,6,3,3,4,7,2,1,0,4,6,0,0,10,10,0,3,7,4,6,10,0,10,0,10,0,10,0
Kammapalle,CHITTOOR,YADAMARI - 4812,Kammapalle,0,9,6,4,3,8,12,3,0,0,8,7,1,0,14,15,0,11,4,13,2,13,2,15,0,15,0,15,0
Kanathalacheruvu,CHITTOOR,YADAMARI - 4812,Kanathalacheruvu,0,4,6,2,6,2,8,2,0,0,4,6,1,0,9,10,0,9,1,9,1,9,1,10,0,10,0,8,2
Kasiralla,CHITTOOR,YADAMARI - 4812,Kasiralla,1,15,36,14,16,22,25,26,1,0,16,36,2,0,50,52,0,41,11,26,26,43,9,51,1,51,1,47,5
Konapalle,CHITTOOR,YADAMARI - 4812,Konapalle,0,8,13,4,4,13,15,6,0,1,7,13,1,0,20,21,0,11,10,16,5,14,7,18,3,21,0,18,3
Kotalam,CHITTOOR,YADAMARI - 4812,Kotalam,0,5,9,0,4,10,13,1,0,0,5,9,0,0,14,14,0,7,7,14,0,12,2,13,1,13,1,13,1
Kukkalapalle,CHITTOOR,YADAMARI - 4812,Kukkalapalle,0,3,4,0,0,7,6,1,0,0,4,3,0,0,7,7,0,5,2,4,3,7,0,5,2,7,0,7,0
Madhavaram,CHITTOOR,YADAMARI - 4812,Madhavaram,0,12,7,5,7,7,8,10,1,0,14,5,0,0,19,19,0,5,14,9,10,15,4,17,1,19,0,17,2
Madireddipalle,CHITTOOR,YADAMARI - 4812,Madireddipalle,0,13,12,1,3,21,7,16,2,0,13,12,6,0,19,25,0,11,14,19,6,20,5,25,0,22,3,24,1
Majara Kothapalle,CHITTOOR,YADAMARI - 4812,Majara Kothapalle,0,7,2,3,0,6,7,2,0,1,6,2,2,0,7,9,0,8,1,7,2,8,1,7,2,9,0,9,0
Modipalle,CHITTOOR,YADAMARI - 4812,Modipalle,0,4,3,1,3,3,5,2,0,1,3,3,0,0,7,7,0,4,3,4,3,7,0,7,0,7,0,7,0
Mudduramapuram,CHITTOOR,YADAMARI - 4812,Mudduramapuram,0,2,2,0,1,3,4,0,0,0,2,2,0,0,4,4,0,2,2,4,0,3,1,3,1,4,0,4,0
Nadimpalle,CHITTOOR,YADAMARI - 4812,Nadimpalle,0,1,2,0,1,2,2,1,0,0,1,2,0,0,3,3,0,1,2,1,2,2,1,3,0,3,0,3,0
Otiripalle,CHITTOOR,YADAMARI - 4812,Otiripalle,0,0,3,0,1,2,2,1,0,0,0,3,0,0,3,3,0,2,1,3,0,2,1,3,0,2,1,2,1
Patrapalle,CHITTOOR,YADAMARI - 4812,Patrapalle,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Periyambadi,CHITTOOR,YADAMARI - 4812,Periyambadi,0,6,5,2,3,6,7,4,0,0,6,5,1,0,10,11,0,10,1,5,6,9,2,11,0,11,0,11,0
Siddareddipalle,CHITTOOR,YADAMARI - 4812,Siddareddipalle,0,1,2,0,2,1,2,0,1,0,1,2,0,0,3,3,0,0,3,2,1,2,1,3,0,3,0,3,0
Yadamarri,CHITTOOR,YADAMARI - 4812,Yadamarri,0,27,29,10,14,32,39,17,0,2,26,28,5,0,51,56,0,40,16,39,17,46,10,51,5,50,6,53,3
