State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Bhimolu,EAST GODAVARI,GOPALAPURAM - 5721,Bhimolu,0,31,4,1,31,3,18,17,0,3,29,3,0,0,35,34,1,35,0,30,5,30,5,33,1,25,10,33,2
Cherukumilli,EAST GODAVARI,GOPALAPURAM - 5721,Cherukumilli,0,27,1,1,27,0,1,26,1,0,27,1,0,0,28,28,0,28,0,28,0,28,0,28,0,28,0,28,0
Chityala,EAST GODAVARI,GOPALAPURAM - 5721,Chityala,0,34,0,0,33,1,1,33,0,9,25,0,0,0,34,34,0,34,0,33,1,34,0,34,0,33,1,34,0
Dondapudi,EAST GODAVARI,GOPALAPURAM - 5721,Dondapudi,0,33,1,5,26,3,8,25,1,5,21,8,0,0,34,34,0,26,8,21,13,24,10,31,3,24,10,26,8
Gangolu,EAST GODAVARI,GOPALAPURAM - 5721,Gangolu,0,35,2,5,31,1,8,27,2,1,33,3,0,0,37,37,0,36,1,34,3,34,3,36,1,33,4,34,3
Gopalapuram,EAST GODAVARI,GOPALAPURAM - 5721,Gopalapuram,1,117,20,22,91,26,57,76,6,22,94,22,0,0,139,139,0,106,33,100,39,106,32,134,4,92,47,109,29
Guddigudem,EAST GODAVARI,GOPALAPURAM - 5721,Guddigudem,0,36,2,4,33,1,2,36,0,3,31,4,0,0,38,38,0,35,3,34,4,34,4,34,4,34,4,34,4
Jagannadhapuram,EAST GODAVARI,GOPALAPURAM - 5721,Jagannadhapuram,0,8,0,0,8,0,3,5,0,2,6,0,0,0,8,8,0,8,0,8,0,8,0,8,0,8,0,8,0
Karagapadu,EAST GODAVARI,GOPALAPURAM - 5721,Karagapadu,0,36,1,4,31,2,7,30,0,5,18,13,0,0,37,37,0,33,4,20,17,22,15,24,13,21,16,21,16
Karicharlagudem,EAST GODAVARI,GOPALAPURAM - 5721,Karicharlagudem,0,30,3,0,26,7,1,32,0,12,20,1,0,0,33,33,0,33,0,31,2,32,1,33,0,32,1,33,0
Kovvurupadu,EAST GODAVARI,GOPALAPURAM - 5721,Kovvurupadu,4,34,0,4,32,2,24,14,0,8,30,0,0,0,38,38,0,38,0,36,2,38,0,38,0,38,0,38,0
Nandigudem,EAST GODAVARI,GOPALAPURAM - 5721,Nandigudem,0,24,1,0,25,0,1,24,0,1,21,3,0,1,24,25,0,25,0,23,2,25,0,24,0,24,1,25,0
Saggonda,EAST GODAVARI,GOPALAPURAM - 5721,Saggonda,0,27,1,18,7,3,19,9,0,2,25,1,0,0,28,27,1,28,0,24,3,25,2,27,1,27,1,27,1
Sagipadu,EAST GODAVARI,GOPALAPURAM - 5721,Sagipadu,0,2,0,0,2,0,0,2,0,2,0,0,0,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0
Vadalakunta,EAST GODAVARI,GOPALAPURAM - 5721,Vadalakunta,0,34,0,3,25,6,17,17,0,5,29,0,0,0,34,34,0,34,0,33,1,31,3,34,0,33,1,32,2
Vellachintalagudem,EAST GODAVARI,GOPALAPURAM - 5721,Vellachintalagudem,0,21,11,0,21,11,16,14,2,5,24,3,0,0,32,32,0,28,4,14,18,19,13,27,5,24,8,22,10
Venkatayapalem,EAST GODAVARI,GOPALAPURAM - 5721,Venkatayapalem,0,8,0,0,8,0,3,5,0,0,8,0,0,0,8,8,0,8,0,8,0,8,0,8,0,8,0,8,0
