State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Bodleddupalem,EAST GODAVARI,KORUKONDA - 4888,Bodleddupalem,0,29,0,0,26,3,24,5,0,0,16,13,0,0,29,29,0,25,4,2,27,2,27,4,25,12,17,18,11
Burugupudi,EAST GODAVARI,KORUKONDA - 4888,Burugupudi,3,43,1,6,39,2,25,22,0,6,28,13,0,1,46,44,2,41,6,18,29,21,26,25,22,32,15,32,15
Butchempeta,EAST GODAVARI,KORUKONDA - 4888,Butchempeta,1,25,0,2,23,1,13,13,0,0,26,0,0,2,24,26,0,25,1,12,14,19,7,19,7,22,4,24,2
Dosakayalapalle,EAST GODAVARI,KORUKONDA - 4888,Dosakayalapalle,1,41,0,2,39,1,25,17,0,15,21,6,0,0,42,42,0,39,3,16,26,18,24,16,26,27,15,31,11
Gadala,EAST GODAVARI,KORUKONDA - 4888,Gadala,0,50,0,0,48,2,43,7,0,0,31,19,0,0,50,49,0,41,9,1,49,2,48,1,49,20,30,22,28
Gadarada,EAST GODAVARI,KORUKONDA - 4888,Gadarada,0,85,0,4,79,2,73,11,1,2,58,25,0,0,85,85,0,77,8,8,77,8,77,10,75,36,49,46,39
Jambupatnam,EAST GODAVARI,KORUKONDA - 4888,Jambupatnam,0,25,0,2,23,0,25,0,0,0,20,5,0,0,25,25,0,25,0,0,25,2,23,7,18,12,13,20,5
Kanupuru,EAST GODAVARI,KORUKONDA - 4888,Kanupuru,0,56,0,1,54,1,52,4,0,2,35,19,0,0,56,56,0,50,6,2,54,6,50,4,52,22,34,26,30
Kapavaram,EAST GODAVARI,KORUKONDA - 4888,Kapavaram,0,40,0,1,39,0,37,2,1,0,32,8,0,0,40,40,0,35,5,2,38,3,37,5,35,21,19,26,14
Korukonda,EAST GODAVARI,KORUKONDA - 4888,Korukonda,0,70,0,1,58,11,59,10,1,0,47,23,0,0,70,70,0,63,7,1,69,4,66,10,60,29,41,43,27
Koti,EAST GODAVARI,KORUKONDA - 4888,Koti,0,28,0,0,24,4,25,3,0,0,17,11,0,0,28,28,0,27,1,2,26,4,24,4,24,16,12,9,19
Kotikesavaram,EAST GODAVARI,KORUKONDA - 4888,Kotikesavaram,1,26,0,3,24,0,25,2,0,0,16,11,0,0,27,27,0,22,5,6,21,8,19,11,16,17,10,17,10
Madhurapudi,EAST GODAVARI,KORUKONDA - 4888,Madhurapudi,0,24,0,2,21,1,22,2,0,2,16,6,0,0,24,24,0,20,4,7,17,9,15,8,16,11,13,20,4
Munagala,EAST GODAVARI,KORUKONDA - 4888,Munagala,0,41,0,2,38,1,38,3,0,0,26,15,0,0,41,41,0,34,7,1,40,8,33,2,39,16,25,30,11
Narasapuram,EAST GODAVARI,KORUKONDA - 4888,Narasapuram,0,54,1,0,53,2,47,7,1,1,39,15,0,0,55,55,0,49,6,2,53,3,52,8,47,24,31,34,21
Nidigatla,EAST GODAVARI,KORUKONDA - 4888,Nidigatla,0,30,0,1,28,1,26,3,1,0,17,13,0,0,30,30,0,25,5,0,30,2,28,1,29,6,24,20,10
Raghavapuram,EAST GODAVARI,KORUKONDA - 4888,Raghavapuram,0,9,1,0,10,0,9,1,0,0,6,4,0,1,9,9,0,10,0,2,8,2,8,4,6,7,3,9,1
Srirangapatnam,EAST GODAVARI,KORUKONDA - 4888,Srirangapatnam,0,59,0,1,54,4,56,2,1,0,34,25,0,0,59,59,0,48,11,2,57,4,55,8,51,24,35,34,25
