State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Arikirevula,EAST GODAVARI,KOVVUR - 5727,Arikirevula,0,20,0,4,16,0,6,14,0,7,13,0,0,0,20,20,0,20,0,17,3,19,1,19,1,17,3,19,1
Chidipi,EAST GODAVARI,KOVVUR - 5727,Chidipi,0,16,8,7,17,0,17,7,0,11,13,0,0,0,24,24,0,22,2,22,2,22,2,22,1,17,7,22,2
Chigurulanka,EAST GODAVARI,KOVVUR - 5727,Chigurulanka,0,4,4,3,5,0,7,1,0,2,6,0,0,0,8,8,0,7,1,7,1,6,2,7,1,5,3,7,1
Decherla,EAST GODAVARI,KOVVUR - 5727,Decherla,0,48,11,4,44,11,25,34,0,28,31,0,0,0,59,59,0,47,12,42,17,44,15,53,6,37,22,46,13
Dharmavaram,EAST GODAVARI,KOVVUR - 5727,Dharmavaram,0,17,7,1,19,4,14,9,1,5,18,1,0,0,24,24,0,17,7,15,9,16,8,15,9,4,20,14,10
Dommeru,EAST GODAVARI,KOVVUR - 5727,Dommeru,0,72,3,0,66,9,3,72,0,64,11,0,0,0,75,75,0,74,1,64,11,61,14,69,6,68,7,69,6
Isukapatlapangidi,EAST GODAVARI,KOVVUR - 5727,Isukapatlapangidi,0,3,3,0,6,0,6,0,0,0,5,0,0,0,6,6,0,5,1,6,0,4,2,6,0,2,4,4,2
KOVVUR,EAST GODAVARI,KOVVUR - 5727,KOVVUR,0,48,10,0,41,17,28,30,0,22,33,3,0,0,58,58,0,41,17,39,19,39,19,43,15,24,34,47,11
Kumaradevam,EAST GODAVARI,KOVVUR - 5727,Kumaradevam,0,29,4,0,31,2,27,6,0,10,23,0,0,0,33,33,0,26,7,30,3,25,8,31,2,6,27,31,2
Madduru,EAST GODAVARI,KOVVUR - 5727,Madduru,0,9,9,0,15,3,12,6,0,5,13,0,0,0,18,18,0,14,4,13,5,14,4,14,4,10,8,15,3
Maddurulanka,EAST GODAVARI,KOVVUR - 5727,Maddurulanka,0,5,2,1,6,0,3,4,0,2,5,0,0,0,7,7,0,4,3,3,4,3,4,3,4,1,6,6,1
Nandamuru,EAST GODAVARI,KOVVUR - 5727,Nandamuru,0,25,0,0,23,2,2,23,0,23,2,0,0,0,25,25,0,25,0,22,3,22,3,22,3,22,3,25,0
Pasivedala,EAST GODAVARI,KOVVUR - 5727,Pasivedala,0,63,4,0,60,7,8,59,0,55,12,0,0,0,67,67,0,63,4,59,8,62,5,67,0,60,7,64,3
Penakanametta,EAST GODAVARI,KOVVUR - 5727,Penakanametta,0,6,2,0,5,3,2,6,0,6,2,0,0,0,8,8,0,6,2,7,1,6,2,8,0,5,3,7,1
Thogummi,EAST GODAVARI,KOVVUR - 5727,Thogummi,0,31,5,0,28,8,13,23,0,16,18,2,0,0,36,35,1,27,9,21,15,23,13,30,6,17,19,29,7
Vadapalle,EAST GODAVARI,KOVVUR - 5727,Vadapalle,0,17,0,0,16,1,0,17,0,16,1,0,0,0,17,17,0,17,0,16,1,15,2,15,2,16,1,17,0
Vemuluru,EAST GODAVARI,KOVVUR - 5727,Vemuluru,0,18,8,0,14,12,9,16,1,11,14,1,0,0,26,26,0,18,8,14,12,16,10,19,7,15,11,22,4
