State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Ananthapalle,EAST GODAVARI,NALLAJERLA - 5731,Ananthapalle,2,198,16,41,106,69,167,46,3,14,167,35,0,2,213,216,0,167,49,135,80,135,80,147,69,141,75,147,69
Anumunilanka,EAST GODAVARI,NALLAJERLA - 5731,Anumunilanka,0,41,9,1,18,31,43,6,1,7,28,15,0,0,50,50,0,26,24,16,34,15,35,15,33,17,33,17,33
Avapadu,EAST GODAVARI,NALLAJERLA - 5731,Avapadu,0,14,18,1,31,0,30,2,0,12,16,4,0,0,32,32,0,32,0,26,6,11,21,20,12,22,10,18,13
Cheepurugudem,EAST GODAVARI,NALLAJERLA - 5731,Cheepurugudem,0,8,27,0,30,5,30,5,0,14,15,6,0,2,33,35,0,28,7,27,8,18,16,33,2,14,21,29,6
Chodavaram (West),EAST GODAVARI,NALLAJERLA - 5731,Chodavaram (West),0,10,49,0,58,1,58,0,1,25,32,2,0,0,59,59,0,59,0,33,26,23,36,53,6,27,32,45,14
Dubacherla,EAST GODAVARI,NALLAJERLA - 5731,Dubacherla,0,7,3,0,9,1,8,2,0,2,6,2,0,3,7,10,0,8,2,4,6,3,7,3,7,8,2,3,6
Gundepalle @ Chodavaram(East),EAST GODAVARI,NALLAJERLA - 5731,Gundepalle @ Chodavaram(East),0,0,7,0,7,0,7,0,0,5,2,0,0,0,7,7,0,7,0,7,0,1,6,7,0,7,0,7,0
Marellamudi,EAST GODAVARI,NALLAJERLA - 5731,Marellamudi,0,9,4,0,7,6,12,1,0,3,10,0,0,0,13,13,0,11,2,5,8,5,8,6,7,4,9,5,8
Nallajerla,EAST GODAVARI,NALLAJERLA - 5731,Nallajerla,3,69,137,1,178,30,193,10,6,96,87,26,0,5,204,209,0,182,27,153,56,57,151,150,58,139,70,144,64
Pothavaram,EAST GODAVARI,NALLAJERLA - 5731,Pothavaram,0,11,47,0,47,11,56,2,0,35,16,7,0,1,57,58,0,53,5,45,13,16,42,49,9,40,18,50,8
Prakasaraopalem,EAST GODAVARI,NALLAJERLA - 5731,Prakasaraopalem,0,4,17,0,21,0,21,0,0,4,15,2,0,1,20,21,0,21,0,11,10,16,5,18,3,3,18,18,3
Telikicherla,EAST GODAVARI,NALLAJERLA - 5731,Telikicherla,0,7,25,4,27,1,29,3,0,14,17,1,0,1,31,31,1,31,1,20,12,18,14,32,0,16,16,26,6
