State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Ammepalle,EAST GODAVARI,NIDADAVOLE - 5733,Ammepalle,4,198,73,57,197,21,175,92,8,46,212,17,1,2,272,273,2,233,42,236,39,191,84,249,26,212,63,230,45
D.Muppavaram,EAST GODAVARI,NIDADAVOLE - 5733,D.Muppavaram,0,3,11,0,13,1,13,1,0,8,5,1,0,0,14,14,0,11,3,11,3,3,11,13,1,11,3,12,2
Gopavaram,EAST GODAVARI,NIDADAVOLE - 5733,Gopavaram,0,16,11,0,23,4,18,7,2,5,21,1,0,0,27,27,0,13,14,17,10,24,3,22,5,15,12,20,7
Jeedigunta,EAST GODAVARI,NIDADAVOLE - 5733,Jeedigunta,0,9,10,1,18,0,17,2,0,5,14,0,0,0,19,19,0,19,0,18,1,4,15,19,0,19,0,19,0
Kalavacherla,EAST GODAVARI,NIDADAVOLE - 5733,Kalavacherla,0,8,25,0,31,2,29,4,0,16,14,3,0,0,33,33,0,21,12,29,4,9,24,32,1,20,13,26,7
Korumamidi,EAST GODAVARI,NIDADAVOLE - 5733,Korumamidi,0,29,16,5,40,0,22,23,0,6,37,2,0,0,45,45,0,30,15,29,16,34,11,45,0,27,18,32,13
Korupalle,EAST GODAVARI,NIDADAVOLE - 5733,Korupalle,0,13,11,2,21,1,5,19,0,6,17,1,0,2,22,24,0,22,2,10,14,18,6,24,0,22,2,21,3
Medipalle,EAST GODAVARI,NIDADAVOLE - 5733,Medipalle,0,6,9,1,13,1,7,7,1,5,8,2,0,0,15,15,0,14,1,8,7,6,9,14,1,13,2,8,7
Munipalle,EAST GODAVARI,NIDADAVOLE - 5733,Munipalle,0,4,13,0,13,4,9,7,1,7,6,4,0,0,17,17,0,11,6,13,4,6,11,16,1,11,6,15,2
Nidadavole (R),EAST GODAVARI,NIDADAVOLE - 5733,Nidadavole (R),0,36,111,2,117,28,88,41,18,69,47,30,0,1,144,146,0,105,41,108,39,53,94,141,6,104,43,120,27
Pandalaparru,EAST GODAVARI,NIDADAVOLE - 5733,Pandalaparru,0,1,25,0,26,0,24,2,0,19,7,0,0,0,26,26,0,21,5,23,3,6,20,26,0,23,3,25,1
Pendyala,EAST GODAVARI,NIDADAVOLE - 5733,Pendyala,0,22,10,3,29,0,14,17,1,5,27,0,0,4,27,32,0,21,11,18,14,30,2,32,0,21,11,23,9
Purushothapalle,EAST GODAVARI,NIDADAVOLE - 5733,Purushothapalle,0,8,20,4,19,5,16,10,2,11,13,3,0,0,28,28,0,22,6,17,11,12,16,28,0,21,7,26,2
Ravimetla,EAST GODAVARI,NIDADAVOLE - 5733,Ravimetla,0,0,7,0,6,1,6,0,1,4,2,1,0,0,7,7,0,4,3,6,1,2,5,7,0,4,3,7,0
Sankarapuram,EAST GODAVARI,NIDADAVOLE - 5733,Sankarapuram,0,11,6,4,13,0,5,11,1,3,14,0,0,1,16,17,0,13,4,7,10,17,0,17,0,12,5,15,2
Settipeta,EAST GODAVARI,NIDADAVOLE - 5733,Settipeta,0,12,11,4,19,0,9,14,0,5,18,0,0,0,23,23,0,16,7,10,13,17,6,22,0,17,6,18,5
Singavaram,EAST GODAVARI,NIDADAVOLE - 5733,Singavaram,0,6,55,0,54,7,53,7,1,30,22,8,0,0,61,61,0,45,16,52,8,13,48,58,2,44,17,56,4
Tadimalla,EAST GODAVARI,NIDADAVOLE - 5733,Tadimalla,0,44,41,13,66,6,36,45,4,26,53,6,0,2,83,82,2,64,21,47,38,59,26,84,1,62,23,73,12
Thimmarajupalem,EAST GODAVARI,NIDADAVOLE - 5733,Thimmarajupalem,0,8,7,5,10,0,6,9,0,2,13,0,0,0,15,15,0,12,3,7,8,12,3,14,0,12,3,13,2
Unakaramilli,EAST GODAVARI,NIDADAVOLE - 5733,Unakaramilli,0,7,14,0,21,0,19,2,0,13,8,0,0,0,21,21,0,16,5,20,1,8,13,21,0,15,6,21,0
Vijjeswaram,EAST GODAVARI,NIDADAVOLE - 5733,Vijjeswaram,0,11,18,0,29,0,27,1,1,8,20,1,0,0,29,29,0,12,17,27,2,19,10,29,0,14,15,24,5
