State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Ajjaram,EAST GODAVARI,PERAVALI - 5742,Ajjaram,33,907,81,313,629,79,673,345,4,105,860,56,0,9,1012,1018,3,989,32,910,110,890,130,875,134,886,134,883,138
Kakaraparru,EAST GODAVARI,PERAVALI - 5742,Kakaraparru,0,9,21,0,16,14,29,1,0,0,23,7,0,0,30,29,1,21,9,3,27,2,28,20,10,14,16,14,16
Kanuru,EAST GODAVARI,PERAVALI - 5742,Kanuru,0,45,17,18,36,8,42,19,1,5,54,3,0,0,62,62,0,57,5,46,16,46,16,60,2,53,9,59,3
Kanuruagraharam,EAST GODAVARI,PERAVALI - 5742,Kanuruagraharam,0,5,1,0,5,1,6,0,0,1,5,0,0,0,6,6,0,6,0,4,2,2,4,1,5,5,1,1,5
Kapavaram,EAST GODAVARI,PERAVALI - 5742,Kapavaram,0,13,3,3,13,0,12,4,0,0,16,0,0,1,15,16,0,15,1,7,9,12,4,12,4,12,4,8,8
Khandavalli,EAST GODAVARI,PERAVALI - 5742,Khandavalli,0,25,8,8,24,1,19,14,0,0,31,2,0,4,29,33,0,30,3,9,24,22,11,26,7,30,3,25,8
Kothapalle Agraharam,EAST GODAVARI,PERAVALI - 5742,Kothapalle Agraharam,0,20,6,0,21,5,23,3,0,0,23,2,0,1,25,25,1,22,4,18,8,11,15,4,22,22,4,3,23
Malleswaram,EAST GODAVARI,PERAVALI - 5742,Malleswaram,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1
Mukkamala,EAST GODAVARI,PERAVALI - 5742,Mukkamala,0,64,14,10,55,13,65,13,0,3,66,9,0,8,70,77,1,68,10,46,32,43,35,27,51,60,18,21,57
Nadupalle,EAST GODAVARI,PERAVALI - 5742,Nadupalle,0,2,0,0,2,0,2,0,0,0,2,0,0,0,2,2,0,1,1,2,0,1,1,0,2,1,1,2,0
Peravali,EAST GODAVARI,PERAVALI - 5742,Peravali,0,56,5,2,54,5,54,6,1,0,56,5,0,1,60,60,0,56,4,43,17,38,23,18,42,44,17,11,50
Pittalavemavaram,EAST GODAVARI,PERAVALI - 5742,Pittalavemavaram,0,20,3,0,22,1,23,0,0,0,22,1,0,1,22,23,0,19,4,17,6,10,13,7,16,21,2,1,22
Teeparru,EAST GODAVARI,PERAVALI - 5742,Teeparru,0,9,0,0,8,1,9,0,0,0,9,0,0,0,9,9,0,9,0,3,6,6,3,1,8,7,2,2,7
Usulumarru,EAST GODAVARI,PERAVALI - 5742,Usulumarru,0,25,3,2,22,4,22,6,0,1,26,1,0,0,28,28,0,25,3,21,7,25,3,17,11,27,1,10,18
