State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Doddigunta,EAST GODAVARI,RANGAMPETA - 4908,Doddigunta,15,16,5,8,23,5,19,16,1,16,15,5,0,0,36,36,0,36,0,33,3,35,1,36,0,31,5,35,1
Elakolanu,EAST GODAVARI,RANGAMPETA - 4908,Elakolanu,0,13,21,0,31,2,31,2,1,17,14,3,0,0,34,34,0,32,2,29,5,8,26,34,0,29,5,32,2
G. Donthamuru,EAST GODAVARI,RANGAMPETA - 4908,G. Donthamuru,0,28,1,1,27,1,14,14,1,0,28,1,0,0,29,28,1,29,0,29,0,29,0,27,1,28,1,29,0
Kotapadu,EAST GODAVARI,RANGAMPETA - 4908,Kotapadu,4,14,5,2,21,0,18,5,0,4,16,3,0,0,23,23,0,23,0,18,5,23,0,23,0,17,6,22,1
Marripudi,EAST GODAVARI,RANGAMPETA - 4908,Marripudi,0,22,19,1,40,0,31,10,0,2,34,5,0,0,41,41,0,41,0,29,12,25,16,40,1,38,3,37,4
Mukundavaram,EAST GODAVARI,RANGAMPETA - 4908,Mukundavaram,12,15,3,4,26,0,21,8,1,8,19,3,0,1,29,30,0,30,0,30,0,27,3,29,0,27,3,29,1
Nallamilli,EAST GODAVARI,RANGAMPETA - 4908,Nallamilli,0,3,0,0,3,0,3,0,0,0,3,0,0,0,3,3,0,3,0,3,0,3,0,3,0,3,0,3,0
Pedarayavaram,EAST GODAVARI,RANGAMPETA - 4908,Pedarayavaram,0,15,7,2,18,2,16,6,0,2,12,8,0,0,22,22,0,21,1,18,4,20,2,22,0,16,6,18,4
Rangampeta,EAST GODAVARI,RANGAMPETA - 4908,Rangampeta,10,86,39,5,118,11,104,28,2,8,90,36,0,1,133,134,0,131,3,100,34,109,25,130,3,91,43,117,17
Singampalle,EAST GODAVARI,RANGAMPETA - 4908,Singampalle,0,17,13,0,29,1,28,2,0,1,6,23,0,0,30,30,0,30,0,18,12,25,5,30,0,10,20,18,12
South Thirupathi Rajapuram,EAST GODAVARI,RANGAMPETA - 4908,South Thirupathi Rajapuram,4,24,8,6,27,3,20,15,1,5,26,5,0,0,36,36,0,36,0,31,5,32,4,35,0,27,9,35,1
Subhadrampeta,EAST GODAVARI,RANGAMPETA - 4908,Subhadrampeta,4,21,2,0,26,1,15,12,0,6,18,3,0,0,27,27,0,25,2,21,6,23,4,22,5,25,2,27,0
Vadisaleru,EAST GODAVARI,RANGAMPETA - 4908,Vadisaleru,0,12,8,1,17,2,18,1,1,0,9,11,0,2,18,20,0,20,0,17,3,16,3,20,0,9,11,14,6
Veerampalem,EAST GODAVARI,RANGAMPETA - 4908,Veerampalem,0,9,19,1,23,4,23,3,2,3,12,13,0,0,28,28,0,23,5,20,8,21,7,28,0,7,21,23,5
Venkatapuram,EAST GODAVARI,RANGAMPETA - 4908,Venkatapuram,2,21,3,1,24,1,16,10,0,4,19,3,0,0,26,26,0,25,1,23,3,25,1,26,0,22,4,24,2
