State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Bobbillanka,EAST GODAVARI,SEETHANAGARAM - 4915,Bobbillanka,0,2,0,0,0,2,2,0,0,0,2,0,0,0,2,2,0,2,0,2,0,1,1,2,0,2,0,2,0
Chinakondepudi,EAST GODAVARI,SEETHANAGARAM - 4915,Chinakondepudi,3,33,18,1,52,1,49,5,0,15,35,4,0,0,54,54,0,54,0,47,7,16,38,54,0,49,5,52,2
Hundeswarapuram,EAST GODAVARI,SEETHANAGARAM - 4915,Hundeswarapuram,0,6,4,0,10,0,9,1,0,1,9,0,0,0,10,10,0,10,0,9,1,10,0,10,0,8,2,10,0
Katavaram,EAST GODAVARI,SEETHANAGARAM - 4915,Katavaram,0,8,7,0,11,4,13,2,0,1,14,0,0,0,15,15,0,15,0,13,2,14,1,15,0,15,0,15,0
Kunavaram,EAST GODAVARI,SEETHANAGARAM - 4915,Kunavaram,0,7,8,2,12,1,11,4,0,3,12,0,0,0,15,15,0,15,0,15,0,13,2,15,0,13,2,15,0
Mirthipadu,EAST GODAVARI,SEETHANAGARAM - 4915,Mirthipadu,1,5,4,0,8,2,10,0,0,3,6,1,0,0,10,10,0,10,0,9,1,10,0,10,0,10,0,10,0
Muggaulla,EAST GODAVARI,SEETHANAGARAM - 4915,Muggaulla,0,6,16,0,16,6,22,0,0,3,19,0,0,0,22,22,0,22,0,19,3,12,10,22,0,22,0,22,0
Mulakallanka,EAST GODAVARI,SEETHANAGARAM - 4915,Mulakallanka,0,1,2,0,3,0,3,0,0,0,3,0,0,0,3,3,0,3,0,2,1,1,2,3,0,2,1,3,0
Munikudali,EAST GODAVARI,SEETHANAGARAM - 4915,Munikudali,0,20,15,2,25,8,32,3,0,6,29,0,0,0,35,35,0,35,0,33,2,31,4,35,0,34,1,35,0
Nagampalle,EAST GODAVARI,SEETHANAGARAM - 4915,Nagampalle,1,30,0,5,25,1,24,7,0,3,28,0,0,0,31,31,0,30,1,30,1,13,18,31,0,31,0,31,0
Nallagonda,EAST GODAVARI,SEETHANAGARAM - 4915,Nallagonda,0,9,13,1,17,4,22,0,0,4,18,0,0,0,22,22,0,21,1,16,6,10,12,22,0,21,1,22,0
Purushothapatnam,EAST GODAVARI,SEETHANAGARAM - 4915,Purushothapatnam,0,10,5,3,12,0,13,2,0,5,10,0,0,0,15,15,0,15,0,15,0,5,10,15,0,13,2,15,0
Raghudevapuram,EAST GODAVARI,SEETHANAGARAM - 4915,Raghudevapuram,1,53,12,8,57,1,55,11,0,10,56,0,0,0,66,66,0,66,0,64,2,30,36,66,0,59,7,66,0
Seethanagaram,EAST GODAVARI,SEETHANAGARAM - 4915,Seethanagaram,0,18,0,0,18,0,17,1,0,0,18,0,0,0,18,18,0,18,0,18,0,1,17,18,0,18,0,18,0
Singavaram,EAST GODAVARI,SEETHANAGARAM - 4915,Singavaram,0,17,14,0,27,4,28,3,0,21,10,0,0,0,31,31,0,30,1,28,3,4,27,31,0,31,0,30,1
Vangalapudi,EAST GODAVARI,SEETHANAGARAM - 4915,Vangalapudi,0,14,13,1,20,6,20,7,0,12,11,4,0,0,27,26,1,23,4,26,1,16,11,25,2,21,6,27,0
