State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Annadevarapeta,EAST GODAVARI,THALLAPUDI - 5748,Annadevarapeta,1,73,1,10,60,5,40,35,0,3,69,3,0,0,75,75,0,73,2,68,7,67,8,71,4,70,5,72,3
Ballipadu,EAST GODAVARI,THALLAPUDI - 5748,Ballipadu,0,0,3,0,2,1,3,0,0,2,1,0,0,0,3,3,0,0,3,2,1,2,1,3,0,1,2,3,0
Bayyavaram,EAST GODAVARI,THALLAPUDI - 5748,Bayyavaram,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Gajjaram,EAST GODAVARI,THALLAPUDI - 5748,Gajjaram,0,17,0,0,17,0,13,4,0,3,14,0,0,0,17,17,0,17,0,17,0,17,0,16,0,15,2,17,0
Kukunuru,EAST GODAVARI,THALLAPUDI - 5748,Kukunuru,0,11,0,0,8,3,7,4,0,0,11,0,0,0,11,11,0,11,0,11,0,11,0,11,0,11,0,11,0
Malakapalle,EAST GODAVARI,THALLAPUDI - 5748,Malakapalle,0,3,3,0,4,2,5,1,0,3,3,0,0,0,6,6,0,4,2,5,1,3,3,6,0,3,3,6,0
Nallamillipadu,EAST GODAVARI,THALLAPUDI - 5748,Nallamillipadu,0,8,0,0,7,1,4,4,0,1,7,0,0,0,8,8,0,8,0,8,0,8,0,8,0,8,0,8,0
Paidimetta,EAST GODAVARI,THALLAPUDI - 5748,Paidimetta,0,0,2,0,0,2,2,0,0,2,0,0,0,0,2,2,0,0,2,1,1,1,1,2,0,1,1,2,0
Peddevam,EAST GODAVARI,THALLAPUDI - 5748,Peddevam,0,17,2,1,15,3,11,8,0,0,18,1,0,0,19,19,0,18,1,19,0,19,0,19,0,18,1,19,0
Pochavaram,EAST GODAVARI,THALLAPUDI - 5748,Pochavaram,0,6,2,0,8,0,0,8,0,0,8,0,0,0,8,8,0,7,1,8,0,8,0,7,0,8,0,8,0
Prakkilanka,EAST GODAVARI,THALLAPUDI - 5748,Prakkilanka,0,1,1,0,1,1,2,0,0,0,2,0,0,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0
Ragolapalle,EAST GODAVARI,THALLAPUDI - 5748,Ragolapalle,0,5,1,0,6,0,2,4,0,1,5,0,0,0,6,6,0,5,1,6,0,6,0,6,0,5,1,6,0
Ravurupadu,EAST GODAVARI,THALLAPUDI - 5748,Ravurupadu,0,8,0,1,7,0,3,5,0,0,8,0,0,0,8,8,0,8,0,8,0,8,0,8,0,8,0,8,0
Thadipudi,EAST GODAVARI,THALLAPUDI - 5748,Thadipudi,0,41,2,6,35,2,10,32,1,3,39,1,0,0,43,43,0,42,1,43,0,43,0,41,0,42,1,41,2
Thallapudi,EAST GODAVARI,THALLAPUDI - 5748,Thallapudi,0,31,2,3,25,5,16,17,0,2,30,0,0,0,32,32,0,30,3,33,0,30,3,30,0,32,1,33,0
Thupakulagudem,EAST GODAVARI,THALLAPUDI - 5748,Thupakulagudem,0,2,0,0,2,0,0,2,0,0,2,0,0,0,2,2,0,2,0,1,1,2,0,2,0,2,0,2,0
Tirugudumetta,EAST GODAVARI,THALLAPUDI - 5748,Tirugudumetta,0,13,0,2,11,0,12,1,0,1,12,0,0,0,13,13,0,13,0,13,0,13,0,13,0,13,0,13,0
Veerabhadrapuram,EAST GODAVARI,THALLAPUDI - 5748,Veerabhadrapuram,0,9,0,1,6,2,6,3,0,2,7,0,0,0,9,9,0,9,0,9,0,9,0,8,0,9,0,9,0
Vegeswarapuram,EAST GODAVARI,THALLAPUDI - 5748,Vegeswarapuram,0,41,3,5,36,3,18,26,0,2,38,4,0,0,44,44,0,43,1,36,8,23,21,40,2,40,4,43,1
