State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Chilakapadu,EAST GODAVARI,UNDRAJAVARAM - 5750,Chilakapadu,0,12,0,6,6,0,7,5,0,3,9,0,0,0,12,12,0,12,0,12,0,12,0,11,0,9,3,12,0
Chivatam,EAST GODAVARI,UNDRAJAVARAM - 5750,Chivatam,6,9,0,15,0,0,14,1,0,7,6,0,0,0,15,15,0,15,0,15,0,15,0,15,0,15,0,15,0
Dammennu,EAST GODAVARI,UNDRAJAVARAM - 5750,Dammennu,1,33,1,16,16,3,19,16,0,3,30,2,0,1,34,33,2,35,0,27,8,26,9,30,5,30,5,29,6
Kaldhari,EAST GODAVARI,UNDRAJAVARAM - 5750,Kaldhari,0,30,1,17,14,0,19,12,0,1,24,6,0,0,31,31,0,31,0,23,8,23,8,27,4,22,9,23,8
Karravarisavaram,EAST GODAVARI,UNDRAJAVARAM - 5750,Karravarisavaram,0,29,4,24,8,1,21,12,0,4,28,1,0,0,33,33,0,33,0,28,5,29,4,29,4,26,7,31,2
Mortha,EAST GODAVARI,UNDRAJAVARAM - 5750,Mortha,0,53,0,11,40,2,21,32,0,0,48,5,0,0,53,53,0,52,1,36,17,38,15,47,6,26,27,42,11
Palangi,EAST GODAVARI,UNDRAJAVARAM - 5750,Palangi,0,30,4,1,31,2,32,2,0,1,24,9,0,0,34,34,0,30,4,5,29,7,27,15,19,18,16,19,15
Pasalapudi,EAST GODAVARI,UNDRAJAVARAM - 5750,Pasalapudi,0,33,2,8,26,1,28,7,0,2,25,8,0,0,35,35,0,34,1,17,18,21,14,23,12,25,10,24,11
Satyawada,EAST GODAVARI,UNDRAJAVARAM - 5750,Satyawada,0,29,1,2,27,1,21,8,1,2,28,0,0,0,30,29,1,29,1,28,2,26,4,29,1,28,2,30,0
Suryaraopalem,EAST GODAVARI,UNDRAJAVARAM - 5750,Suryaraopalem,0,28,1,10,18,1,21,8,0,4,23,2,0,0,29,29,0,29,0,24,5,24,5,23,6,26,3,27,2
Tadiparru,EAST GODAVARI,UNDRAJAVARAM - 5750,Tadiparru,0,32,1,11,18,4,18,14,1,2,31,0,0,0,33,33,0,31,2,28,5,28,5,29,3,28,5,30,3
Undrajavaram,EAST GODAVARI,UNDRAJAVARAM - 5750,Undrajavaram,0,70,6,8,60,8,55,21,0,6,53,17,1,0,75,76,0,72,4,19,57,21,55,34,42,38,38,44,32
Vadluru,EAST GODAVARI,UNDRAJAVARAM - 5750,Vadluru,0,29,0,12,17,0,15,13,1,3,26,0,0,0,29,28,1,29,0,27,2,26,3,27,2,27,2,27,2
Velagadurru,EAST GODAVARI,UNDRAJAVARAM - 5750,Velagadurru,21,9,0,29,1,0,29,1,0,29,1,0,1,0,29,30,0,28,2,27,3,23,7,29,1,26,4,29,1
Velivennu,EAST GODAVARI,UNDRAJAVARAM - 5750,Velivennu,0,100,2,44,56,2,60,41,1,10,74,18,0,0,102,101,1,99,3,69,33,71,31,77,25,73,29,74,28
