State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Bayyanagudem,Eluru,KOYYALAGUDEM - 5728,Bayyanagudem,0,0,41,31,5,5,26,10,5,0,4,37,0,0,41,39,2,28,13,36,5,8,33,41,0,35,6,38,3
Chopparamannagudem,Eluru,KOYYALAGUDEM - 5728,Chopparamannagudem,0,0,2,2,0,0,0,0,2,0,1,1,0,0,2,2,0,2,0,1,1,2,0,2,0,0,2,2,0
Dippakayalapadu,Eluru,KOYYALAGUDEM - 5728,Dippakayalapadu,0,1,10,10,1,0,8,3,0,0,0,11,0,0,11,11,0,10,1,6,5,4,7,10,1,9,2,11,0
Eduvadalapalem,Eluru,KOYYALAGUDEM - 5728,Eduvadalapalem,0,0,9,9,0,0,2,6,1,0,1,8,0,1,8,9,0,7,2,9,0,2,7,9,0,7,2,9,0
Gavaravaram,Eluru,KOYYALAGUDEM - 5728,Gavaravaram,0,1,19,17,0,3,16,2,2,1,0,19,0,1,19,19,1,11,9,18,2,10,10,20,0,16,4,20,0
Kanakadripuram,Eluru,KOYYALAGUDEM - 5728,Kanakadripuram,0,0,6,6,0,0,6,0,0,0,0,6,0,0,6,3,3,6,0,3,3,3,3,6,0,5,1,6,0
Kannapuram,Eluru,KOYYALAGUDEM - 5728,Kannapuram,0,3,7,8,2,0,3,7,0,1,2,7,0,0,10,10,0,8,2,8,2,5,5,10,0,7,3,7,3
Kannayagudem,Eluru,KOYYALAGUDEM - 5728,Kannayagudem,0,0,4,4,0,0,3,1,0,0,1,3,0,0,4,4,0,4,0,4,0,0,4,3,1,4,0,4,0
Kuntalagudem,Eluru,KOYYALAGUDEM - 5728,Kuntalagudem,0,0,4,4,0,0,1,1,2,0,0,4,0,0,4,4,0,4,0,4,0,0,4,4,0,4,0,4,0
Mahadevapuram,Eluru,KOYYALAGUDEM - 5728,Mahadevapuram,0,0,2,2,0,0,1,1,0,0,1,1,0,0,2,2,0,1,1,2,0,0,2,2,0,2,0,1,1
Mangapathidevipeta,Eluru,KOYYALAGUDEM - 5728,Mangapathidevipeta,0,1,25,21,4,1,24,0,2,0,4,22,0,2,24,26,0,8,18,26,0,5,21,26,0,23,3,26,0
Parimpudi,Eluru,KOYYALAGUDEM - 5728,Parimpudi,1,1,62,52,9,3,49,7,8,1,9,54,0,8,56,63,1,39,25,60,4,34,30,64,0,51,13,62,2
Ponguturu,Eluru,KOYYALAGUDEM - 5728,Ponguturu,0,0,18,17,1,0,9,7,2,0,2,16,0,1,17,17,1,17,1,14,4,2,16,18,0,14,4,18,0
Rajavaram,Eluru,KOYYALAGUDEM - 5728,Rajavaram,0,2,37,31,4,4,17,15,7,1,3,35,0,9,30,38,1,32,7,34,5,20,19,39,0,35,4,39,0
Ramanujapuram,Eluru,KOYYALAGUDEM - 5728,Ramanujapuram,0,1,15,11,3,2,6,9,1,0,2,14,0,0,16,16,0,13,3,15,1,3,13,16,0,14,2,16,0
Saripalle,Eluru,KOYYALAGUDEM - 5728,Saripalle,0,0,37,28,6,3,17,17,3,1,11,25,0,1,36,37,0,25,12,35,2,2,35,37,0,30,7,37,0
Vedanthapuram,Eluru,KOYYALAGUDEM - 5728,Vedanthapuram,0,1,17,15,1,2,11,7,0,2,4,12,0,2,16,18,0,14,4,18,0,4,14,18,0,15,3,18,0
Yerrampeta,Eluru,KOYYALAGUDEM - 5728,Yerrampeta,0,0,20,19,1,0,14,6,0,1,3,16,0,1,19,20,0,20,0,19,1,10,10,20,0,13,7,19,1
