State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Adavikolanu,Eluru,NIDAMARRU - 5734,Adavikolanu,0,2,49,19,23,9,37,12,2,11,8,22,0,0,50,50,1,15,36,51,0,51,0,51,0,51,0,51,0
Bavayapalem,Eluru,NIDAMARRU - 5734,Bavayapalem,0,1,18,11,7,1,11,4,4,1,4,10,0,0,19,17,2,6,13,19,0,19,0,19,0,18,1,19,0
Buvvanapalle,Eluru,NIDAMARRU - 5734,Buvvanapalle,0,1,20,11,5,5,16,5,0,8,2,4,0,0,21,21,0,9,12,19,2,21,0,20,1,21,0,21,0
Chanamilli,Eluru,NIDAMARRU - 5734,Chanamilli,0,1,60,27,24,10,54,6,1,44,8,8,0,0,59,61,0,20,41,61,0,61,0,61,0,58,2,61,0
Enikepalle,Eluru,NIDAMARRU - 5734,Enikepalle,0,0,15,9,5,1,13,2,0,3,7,4,0,0,15,15,0,5,10,15,0,15,0,15,0,14,0,15,0
Gunaparru,Eluru,NIDAMARRU - 5734,Gunaparru,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Kakaramilli,Eluru,NIDAMARRU - 5734,Kakaramilli,0,0,5,3,2,0,5,0,0,2,2,1,0,0,5,5,0,1,4,5,0,5,0,5,0,4,1,5,0
Krovvidi,Eluru,NIDAMARRU - 5734,Krovvidi,0,0,2,1,0,1,2,0,0,2,0,0,0,0,2,2,0,0,2,2,0,2,0,2,0,2,0,2,0
Naganamilli,Eluru,NIDAMARRU - 5734,Naganamilli,0,3,10,6,6,1,10,3,0,4,4,5,0,0,13,13,0,2,11,13,0,13,0,13,0,13,0,13,0
Pedaramachandrapuram,Eluru,NIDAMARRU - 5734,Pedaramachandrapuram,0,0,4,3,0,1,4,0,0,2,2,0,0,0,4,4,0,2,2,4,0,4,0,4,0,4,0,4,0
Thimmaraogudem,Eluru,NIDAMARRU - 5734,Thimmaraogudem,0,1,3,1,3,0,4,0,0,2,1,1,0,0,4,4,0,2,2,4,0,4,0,4,0,4,0,4,0
Venkatapuram,Eluru,NIDAMARRU - 5734,Venkatapuram,0,0,4,0,2,2,3,1,0,0,1,3,0,0,4,4,0,1,3,4,0,4,0,4,0,4,0,4,0
