State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Annavaram,Eluru,NUZVID - 5132,Annavaram,0,12,22,34,0,0,32,2,0,0,4,30,0,0,34,34,0,33,1,6,28,9,25,34,0,34,0,34,0
Bathulavarigudem,Eluru,NUZVID - 5132,Bathulavarigudem,0,17,16,32,1,0,18,15,0,1,14,18,1,0,32,33,0,32,1,19,14,13,20,27,6,33,0,13,20
Boravancha,Eluru,NUZVID - 5132,Boravancha,0,10,11,21,0,0,17,4,0,2,0,19,0,0,21,21,0,21,0,9,11,20,1,21,0,20,1,21,0
Devaragunta,Eluru,NUZVID - 5132,Devaragunta,0,3,19,6,1,14,13,7,2,0,3,19,0,0,22,22,0,22,0,18,4,17,5,22,0,22,0,22,0
Digavalli,Eluru,NUZVID - 5132,Digavalli,0,13,28,41,0,0,33,8,0,0,16,25,1,0,40,40,1,40,1,10,31,30,11,40,1,41,0,41,0
Enamadala,Eluru,NUZVID - 5132,Enamadala,0,4,12,16,0,0,9,6,1,0,2,14,0,0,16,16,0,16,0,15,1,16,0,13,3,16,0,4,12
Gollapalle,Eluru,NUZVID - 5132,Gollapalle,0,19,4,23,0,0,23,0,0,4,15,4,0,0,23,23,0,23,0,22,1,5,18,23,0,23,0,23,0
Hanumanthunigudem,Eluru,NUZVID - 5132,Hanumanthunigudem,0,5,7,12,0,0,11,0,1,0,3,9,0,0,12,12,0,12,0,1,11,1,11,12,0,12,0,7,5
Jangamgudem,Eluru,NUZVID - 5132,Jangamgudem,0,0,7,2,3,2,7,0,0,0,0,7,0,0,7,7,0,7,0,7,0,7,0,7,0,7,0,7,0
Marribandam,Eluru,NUZVID - 5132,Marribandam,1,4,6,11,0,0,9,2,0,0,5,6,0,0,11,11,0,11,0,4,7,11,0,11,0,11,0,11,0
Mirijapuram,Eluru,NUZVID - 5132,Mirijapuram,0,10,23,32,1,0,25,8,0,0,0,33,0,0,33,33,0,33,0,8,25,20,13,32,1,33,0,32,1
Mokhasa Narasannapalem,Eluru,NUZVID - 5132,Mokhasa Narasannapalem,0,10,2,10,0,2,6,5,1,1,8,3,0,0,12,12,0,12,0,9,3,12,0,12,0,12,0,12,0
Morsapudi,Eluru,NUZVID - 5132,Morsapudi,0,3,12,15,0,0,11,4,0,0,4,11,0,0,15,15,0,15,0,8,7,9,6,15,0,14,1,15,0
Mukkollupadu,Eluru,NUZVID - 5132,Mukkollupadu,0,7,30,36,1,0,25,11,1,0,10,27,1,0,36,37,0,36,1,4,33,37,0,37,0,37,0,24,13
Narsupet,Eluru,NUZVID - 5132,Narsupet,0,8,3,10,0,0,10,1,0,0,7,4,0,0,11,11,0,10,1,3,8,11,0,11,0,11,0,11,0
NUZIVID,Eluru,NUZVID - 5132,NUZIVID,0,12,10,15,5,2,11,9,2,0,2,20,0,0,22,22,0,22,0,20,2,16,6,22,0,22,0,22,0
Pallerlamudi,Eluru,NUZVID - 5132,Pallerlamudi,0,16,5,20,0,1,6,14,1,3,14,4,0,0,21,21,0,21,0,19,2,20,1,21,0,21,0,21,0
Pathureddipalle,Eluru,NUZVID - 5132,Pathureddipalle,0,8,12,20,0,0,12,3,5,0,6,14,0,0,20,20,0,20,0,5,15,20,0,20,0,20,0,17,3
Polasanapalle,Eluru,NUZVID - 5132,Polasanapalle,0,5,22,25,2,0,23,4,0,0,6,21,0,1,26,27,0,26,1,5,22,13,14,27,0,27,0,27,0
Ravicherla,Eluru,NUZVID - 5132,Ravicherla,0,27,4,30,0,1,18,11,2,0,0,31,0,0,31,31,0,31,0,28,3,31,0,31,0,31,0,31,0
Seetarampuram,Eluru,NUZVID - 5132,Seetarampuram,0,9,2,11,0,0,11,0,0,1,9,1,0,0,11,11,0,11,0,10,1,11,0,11,0,11,0,11,0
Sunkollu,Eluru,NUZVID - 5132,Sunkollu,0,9,17,26,0,0,12,14,0,0,6,20,0,0,26,26,0,26,0,21,5,23,3,26,0,25,1,26,0
Tukkuluru (M),Eluru,NUZVID - 5132,Tukkuluru (M),0,7,15,14,6,2,0,12,10,0,8,14,0,0,22,22,0,22,0,18,4,21,1,22,0,22,0,22,0
Vempadu,Eluru,NUZVID - 5132,Vempadu,0,1,1,2,0,0,1,1,0,1,0,1,0,0,2,2,0,2,0,2,0,2,0,2,0,1,1,2,0
Venkatayapalem,Eluru,NUZVID - 5132,Venkatayapalem,0,3,5,7,1,0,6,2,0,0,2,6,0,0,8,8,0,7,1,1,7,5,3,8,0,8,0,8,0
