State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Amrutalingampeta,Eluru,PEDAPADU - 5737,Amrutalingampeta,0,2,6,2,6,0,8,0,0,8,0,0,0,0,8,8,0,0,8,8,0,7,1,8,0,8,0,7,1
APPANAVEEDU,Eluru,PEDAPADU - 5737,APPANAVEEDU,0,0,3,3,0,0,1,0,2,0,2,1,0,0,3,3,0,3,0,3,0,3,0,3,0,2,1,3,0
Burugagudem,Eluru,PEDAPADU - 5737,Burugagudem,0,1,5,5,2,0,5,2,0,7,0,0,0,0,7,7,0,0,7,5,2,6,1,7,0,7,0,5,2
Epuru,Eluru,PEDAPADU - 5737,Epuru,0,0,7,4,2,1,6,1,0,5,2,0,0,0,7,7,0,5,2,7,0,7,0,7,0,7,0,7,0
Gogulapadu,Eluru,PEDAPADU - 5737,Gogulapadu,0,4,11,3,8,4,12,0,3,2,5,8,0,0,15,15,0,0,15,13,2,14,1,15,0,10,5,15,0
Gogunta,Eluru,PEDAPADU - 5737,Gogunta,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0
Kalaparru,Eluru,PEDAPADU - 5737,Kalaparru,0,5,14,7,8,4,3,12,4,16,3,0,0,0,19,19,0,2,17,19,0,19,0,19,0,10,9,19,0
Kokkirapadu,Eluru,PEDAPADU - 5737,Kokkirapadu,0,8,40,9,24,13,41,4,3,25,18,5,0,0,47,39,9,4,44,41,7,32,16,48,0,27,21,46,2
Koniki,Eluru,PEDAPADU - 5737,Koniki,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Kothuru,Eluru,PEDAPADU - 5737,Kothuru,0,3,15,11,7,1,19,0,0,15,2,2,1,1,17,19,0,2,17,18,1,17,2,19,0,19,0,18,1
Mupparru,Eluru,PEDAPADU - 5737,Mupparru,0,4,32,7,17,12,21,13,2,25,8,3,0,0,36,34,2,5,31,36,0,29,7,36,0,22,14,36,0
Nandikeswarapuram,Eluru,PEDAPADU - 5737,Nandikeswarapuram,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Pedapadu I,Eluru,PEDAPADU - 5737,Pedapadu I,0,40,46,39,39,7,58,17,11,65,16,5,0,0,85,86,0,2,84,80,6,81,5,86,0,55,28,86,0
Pedapadu II,Eluru,PEDAPADU - 5737,Pedapadu II,0,9,29,13,20,5,36,2,1,21,15,3,0,0,39,39,0,2,37,32,7,36,3,39,0,25,14,38,1
Punukollu I,Eluru,PEDAPADU - 5737,Punukollu I,0,2,9,5,3,2,6,3,2,11,0,0,0,0,11,11,0,0,11,10,1,9,2,11,0,7,4,11,0
Rajupeta,Eluru,PEDAPADU - 5737,Rajupeta,0,5,18,14,9,0,22,1,0,20,2,1,0,0,23,23,0,2,21,21,2,22,1,23,0,21,2,23,0
Sakalakothapalle,Eluru,PEDAPADU - 5737,Sakalakothapalle,0,2,9,5,6,0,7,4,0,8,2,1,0,0,11,11,0,2,9,7,4,6,5,11,0,8,3,11,0
Satyavolu,Eluru,PEDAPADU - 5737,Satyavolu,0,3,14,10,6,1,16,1,0,8,6,3,0,2,15,17,0,2,15,14,3,14,3,17,0,9,8,17,0
Tallagudem,Eluru,PEDAPADU - 5737,Tallagudem,0,6,3,1,4,4,5,4,0,9,0,0,0,0,9,9,0,0,9,9,0,4,5,9,0,4,5,9,0
Tallamudi,Eluru,PEDAPADU - 5737,Tallamudi,0,8,9,3,10,4,16,1,0,5,10,2,0,0,17,17,0,0,17,17,0,16,1,17,0,11,6,17,0
Vasantawada-I,Eluru,PEDAPADU - 5737,Vasantawada-I,0,4,25,24,4,1,27,2,0,18,9,2,0,1,28,29,0,0,29,21,8,26,3,29,0,25,4,28,1
Vasantawada-II,Eluru,PEDAPADU - 5737,Vasantawada-II,0,3,18,10,7,4,18,3,0,5,12,4,0,0,21,18,4,0,21,19,2,19,2,21,0,11,9,20,1
Vatluru,Eluru,PEDAPADU - 5737,Vatluru,0,22,58,38,27,15,35,34,11,61,13,6,1,0,78,80,0,4,76,64,16,71,9,80,0,53,26,79,1
Vempadu,Eluru,PEDAPADU - 5737,Vempadu,0,4,30,18,13,3,28,3,3,26,4,4,0,1,33,34,0,0,34,34,0,32,2,34,0,22,10,32,2
