State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Bapirajugudem,Eluru,PEDAVEGI - 5738,Bapirajugudem,0,0,21,7,11,3,19,1,1,0,0,21,0,0,21,21,0,17,4,21,0,14,7,21,0,18,3,21,0
Bhogapuram,Eluru,PEDAVEGI - 5738,Bhogapuram,0,5,17,2,20,0,15,7,0,1,2,19,0,0,22,22,0,21,1,20,2,21,1,22,0,20,2,22,0
Chakrayagudem,Eluru,PEDAVEGI - 5738,Chakrayagudem,0,1,21,7,13,2,21,0,1,0,1,21,1,0,21,18,4,21,1,22,0,19,3,22,0,17,5,21,1
Duggirala,Eluru,PEDAVEGI - 5738,Duggirala,0,0,21,7,14,0,14,6,1,0,0,21,0,0,21,21,0,21,0,21,0,11,10,21,0,20,1,21,0
Jagannadhapuram,Eluru,PEDAVEGI - 5738,Jagannadhapuram,0,2,38,33,7,0,24,12,4,1,1,38,0,0,40,40,0,36,4,37,3,25,15,40,0,39,1,40,0
Kavagunta,Eluru,PEDAVEGI - 5738,Kavagunta,1,3,18,13,10,0,17,6,0,0,2,20,0,0,22,22,0,22,1,21,2,23,0,23,0,23,0,23,0
Kondalaraopalem,Eluru,PEDAVEGI - 5738,Kondalaraopalem,2,6,10,8,9,1,10,6,2,0,1,17,0,0,18,18,0,15,3,15,3,18,0,18,0,17,1,18,0
Koppaka,Eluru,PEDAVEGI - 5738,Koppaka,4,7,32,18,19,6,38,4,1,4,4,35,0,0,42,36,6,38,5,39,4,31,12,43,0,38,5,43,0
Mundur,Eluru,PEDAVEGI - 5738,Mundur,0,4,17,19,2,0,12,9,0,0,0,21,0,0,21,21,0,20,1,18,3,18,3,21,0,20,1,20,1
Muthanaveedu,Eluru,PEDAVEGI - 5738,Muthanaveedu,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Mylavarapuvarigudem,Eluru,PEDAVEGI - 5738,Mylavarapuvarigudem,0,1,3,0,2,2,3,1,0,0,0,4,0,0,4,1,3,4,0,1,3,3,1,4,0,4,0,4,0
Nadupalle,Eluru,PEDAVEGI - 5738,Nadupalle,4,3,8,2,5,8,8,6,1,2,0,13,0,0,15,15,0,14,1,12,3,13,2,11,4,13,2,15,0
Nyayampalle,Eluru,PEDAVEGI - 5738,Nyayampalle,0,3,18,5,14,2,14,7,0,2,0,19,0,0,21,10,11,18,3,21,0,21,0,21,0,21,0,21,0
Pedavegi,Eluru,PEDAVEGI - 5738,Pedavegi,2,7,69,40,35,3,54,22,2,2,1,75,1,0,77,77,1,68,10,69,9,59,19,76,1,75,3,76,2
Pinakadimi,Eluru,PEDAVEGI - 5738,Pinakadimi,1,10,16,23,4,0,21,5,1,2,0,25,0,0,27,27,0,27,0,18,9,18,9,25,2,27,0,21,6
Ramasingavaram,Eluru,PEDAVEGI - 5738,Ramasingavaram,0,11,35,11,32,3,40,5,1,1,2,43,0,0,46,42,4,44,2,43,3,28,18,43,2,41,5,45,1
Rayannapalem,Eluru,PEDAVEGI - 5738,Rayannapalem,1,2,24,12,15,0,6,16,5,1,0,26,0,0,27,27,0,26,1,19,8,20,7,27,0,25,2,24,3
Singavaram,Eluru,PEDAVEGI - 5738,Singavaram,1,2,16,7,5,7,12,6,1,0,0,19,0,0,19,19,0,13,6,19,0,18,1,19,0,12,7,19,0
Tallagokavaram,Eluru,PEDAVEGI - 5738,Tallagokavaram,0,3,25,17,11,0,27,1,0,0,0,28,0,0,28,28,0,26,2,21,7,23,5,28,0,27,1,24,4
Vanguru,Eluru,PEDAVEGI - 5738,Vanguru,1,4,14,12,7,0,13,5,1,0,0,19,0,0,18,19,0,17,2,16,3,16,3,18,0,18,1,17,2
Vijayarai,Eluru,PEDAVEGI - 5738,Vijayarai,0,1,2,3,0,0,0,2,1,1,2,0,0,0,3,3,0,3,0,3,0,3,0,3,0,3,0,3,0
