State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Allamcherlarajupalem,Eluru,T.NARASAPURAM - 5745,Allamcherlarajupalem,0,2,26,14,4,10,27,1,0,1,12,15,0,0,28,28,0,27,1,12,16,7,21,28,0,24,4,27,1
Appalarajugudem,Eluru,T.NARASAPURAM - 5745,Appalarajugudem,0,1,25,21,3,2,2,24,0,0,6,20,0,0,26,26,0,24,2,19,7,16,10,25,1,26,0,25,1
Bandamcherla,Eluru,T.NARASAPURAM - 5745,Bandamcherla,0,2,26,7,6,15,22,6,0,1,7,20,0,0,28,27,1,28,0,22,6,8,20,28,0,23,5,27,1
Bandivarigudem,Eluru,T.NARASAPURAM - 5745,Bandivarigudem,0,5,35,33,5,2,25,6,9,0,9,31,0,7,33,39,1,34,6,35,5,23,17,37,3,32,8,36,4
Borrampalem,Eluru,T.NARASAPURAM - 5745,Borrampalem,0,8,28,27,5,4,6,14,16,1,7,28,0,1,35,36,0,22,14,29,7,18,18,35,1,36,0,33,3
Epigunta,Eluru,T.NARASAPURAM - 5745,Epigunta,0,0,18,5,8,5,16,2,0,4,6,8,0,0,18,18,0,18,0,6,12,3,15,18,0,17,1,18,0
Guravaigudem,Eluru,T.NARASAPURAM - 5745,Guravaigudem,0,0,8,1,2,5,8,0,0,1,5,2,0,0,8,8,0,8,0,4,4,0,8,8,0,5,3,8,0
Kethavaram,Eluru,T.NARASAPURAM - 5745,Kethavaram,0,6,20,8,9,9,18,8,0,1,8,17,0,0,26,26,0,25,1,11,15,3,23,25,1,25,1,25,1
Kollivarigudem,Eluru,T.NARASAPURAM - 5745,Kollivarigudem,0,0,10,10,0,0,9,0,1,0,3,7,0,0,10,10,0,8,2,0,10,1,9,10,0,7,3,10,0
Krishnapuram,Eluru,T.NARASAPURAM - 5745,Krishnapuram,0,0,9,9,0,0,2,1,6,0,4,5,0,0,9,9,0,5,4,4,5,9,0,9,0,9,0,8,1
Krishnaraopalem,Eluru,T.NARASAPURAM - 5745,Krishnaraopalem,0,1,5,5,1,0,3,3,0,0,2,4,0,1,5,6,0,4,2,5,1,5,1,6,0,5,1,6,0
Lingaraopalem,Eluru,T.NARASAPURAM - 5745,Lingaraopalem,0,1,4,5,0,0,1,2,2,0,2,3,0,0,5,5,0,1,4,4,1,3,2,5,0,5,0,5,0
Makkinavarigudem,Eluru,T.NARASAPURAM - 5745,Makkinavarigudem,0,2,12,14,0,0,13,0,1,0,1,13,0,0,14,14,0,7,7,6,8,5,9,14,0,14,0,14,0
Rajupothepalle,Eluru,T.NARASAPURAM - 5745,Rajupothepalle,0,1,25,26,0,0,3,22,1,0,7,19,0,0,26,26,0,2,24,23,3,18,8,25,1,26,0,26,0
Ramannapalem,Eluru,T.NARASAPURAM - 5745,Ramannapalem,0,0,4,4,0,0,0,1,3,0,1,3,0,0,4,4,0,4,0,3,1,1,3,4,0,4,0,0,4
Sriramavaram,Eluru,T.NARASAPURAM - 5745,Sriramavaram,0,0,6,5,1,0,4,2,0,1,0,5,0,0,6,6,0,0,6,4,2,2,4,6,0,5,1,6,0
T.Narasapuram,Eluru,T.NARASAPURAM - 5745,T.Narasapuram,0,1,27,8,8,12,23,4,1,3,14,11,0,0,28,28,0,27,1,10,18,3,25,28,0,22,6,26,2
Tedlam,Eluru,T.NARASAPURAM - 5745,Tedlam,0,2,6,4,1,3,4,4,0,1,1,6,0,0,8,8,0,4,4,6,2,3,5,8,0,8,0,8,0
Tirumaladevipeta,Eluru,T.NARASAPURAM - 5745,Tirumaladevipeta,0,4,18,16,3,3,6,2,14,0,7,15,0,0,22,22,0,21,1,15,7,14,8,21,1,20,2,16,6
Vakalapudi,Eluru,T.NARASAPURAM - 5745,Vakalapudi,1,0,14,11,1,3,2,0,13,3,7,5,0,0,15,15,0,11,4,3,12,10,5,15,0,15,0,14,1
Vallampatla,Eluru,T.NARASAPURAM - 5745,Vallampatla,0,2,22,16,2,6,7,10,7,1,11,12,0,0,24,24,0,24,0,9,15,12,12,24,0,24,0,23,1
Velagapadu,Eluru,T.NARASAPURAM - 5745,Velagapadu,0,6,19,13,8,4,8,12,5,2,7,16,0,0,25,24,1,11,14,19,6,12,13,25,0,25,0,23,2
