State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
A.Gokavaram,Eluru,UNGUTURU - 5751,A.Gokavaram,0,1,48,26,23,0,37,10,2,34,6,9,0,0,49,49,0,35,14,43,6,5,44,48,1,38,11,48,1
Badampudi,Eluru,UNGUTURU - 5751,Badampudi,1,0,52,3,50,0,47,6,0,33,12,8,0,0,53,53,0,36,17,44,9,30,23,53,0,32,19,52,1
Bommidi,Eluru,UNGUTURU - 5751,Bommidi,0,0,44,11,32,1,39,5,0,29,8,7,0,0,43,43,0,35,9,38,6,3,41,44,0,38,5,44,0
Chebrole Khandrika,Eluru,UNGUTURU - 5751,Chebrole Khandrika,0,0,15,0,15,0,14,1,0,13,2,0,0,0,15,15,0,10,5,8,7,9,6,10,5,7,8,15,0
Chebrolu,Eluru,UNGUTURU - 5751,Chebrolu,0,0,58,0,58,0,56,1,1,27,17,14,0,0,57,58,0,37,21,28,31,35,24,57,2,30,28,52,7
Dontavaram,Eluru,UNGUTURU - 5751,Dontavaram,0,0,15,1,14,0,7,7,1,9,6,0,0,0,15,15,0,9,6,15,0,5,10,15,0,12,3,15,0
Gopinadhapatnam,Eluru,UNGUTURU - 5751,Gopinadhapatnam,0,0,26,0,26,0,22,4,0,14,7,5,0,0,26,26,0,21,5,24,2,5,21,26,0,20,6,26,0
Kagupadu,Eluru,UNGUTURU - 5751,Kagupadu,0,0,32,0,32,0,24,7,1,22,9,1,0,0,32,32,0,20,12,32,0,19,13,31,1,19,12,32,0
Kaikaram,Eluru,UNGUTURU - 5751,Kaikaram,0,0,84,38,46,0,80,4,0,63,12,9,0,0,84,84,0,62,22,73,11,27,57,83,1,58,25,84,0
Kakarlamudi,Eluru,UNGUTURU - 5751,Kakarlamudi,0,0,36,0,36,0,33,3,0,20,8,8,0,0,35,36,0,29,7,11,25,17,19,36,0,20,16,31,5
Nallamadu,Eluru,UNGUTURU - 5751,Nallamadu,1,2,108,24,86,1,87,23,1,79,24,8,0,0,111,111,0,71,40,70,41,75,36,102,9,58,53,111,0
Ravulaparru,Eluru,UNGUTURU - 5751,Ravulaparru,0,0,28,13,15,0,27,1,0,26,2,0,0,0,28,28,0,28,0,26,2,4,23,28,0,22,6,28,0
Tallapuram,Eluru,UNGUTURU - 5751,Tallapuram,0,0,11,5,6,0,8,3,0,6,4,1,0,0,11,11,0,3,8,11,0,0,11,11,0,9,2,11,0
Unguturu,Eluru,UNGUTURU - 5751,Unguturu,0,5,153,32,126,0,135,21,2,84,34,40,0,1,156,157,0,92,66,156,2,109,49,156,2,96,58,145,13
Vellamilli,Eluru,UNGUTURU - 5751,Vellamilli,0,0,52,0,52,0,46,6,0,32,5,14,0,0,51,51,0,32,20,40,12,38,14,48,4,18,34,52,0
Venkatadriapparaopuram,Eluru,UNGUTURU - 5751,Venkatadriapparaopuram,0,0,9,0,9,0,8,1,0,4,2,3,0,0,9,9,0,7,2,2,7,8,1,9,0,6,3,7,2
