State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Brahmanakodur,GUNTUR,PONNUR - 4963,Brahmanakodur,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Dandamudi,GUNTUR,PONNUR - 4963,Dandamudi,0,1,1,2,0,0,2,0,0,1,1,0,0,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0
Doppalapudi,GUNTUR,PONNUR - 4963,Doppalapudi,0,1,24,25,0,0,21,4,0,12,10,3,0,0,25,23,2,25,0,25,0,25,0,25,0,24,1,25,0
Mamillapalle,GUNTUR,PONNUR - 4963,Mamillapalle,0,8,27,33,2,0,33,1,1,17,10,8,0,0,35,34,1,34,1,35,0,33,2,35,0,35,0,35,0
Mulukuduru,GUNTUR,PONNUR - 4963,Mulukuduru,0,8,100,80,17,11,76,28,4,17,23,68,0,0,108,108,0,97,11,93,15,98,10,108,0,105,3,107,1
Munipalle,GUNTUR,PONNUR - 4963,Munipalle,1,36,18,41,13,1,46,9,0,38,5,12,1,1,53,47,7,45,10,45,10,55,0,55,0,52,3,55,0
Patchalatadiparru,GUNTUR,PONNUR - 4963,Patchalatadiparru,0,17,25,41,1,0,38,2,1,19,7,16,0,0,42,41,1,28,14,40,2,42,0,41,1,41,1,42,0
Upparapalem,GUNTUR,PONNUR - 4963,Upparapalem,0,0,2,2,0,0,2,0,0,0,2,0,0,0,2,2,0,0,2,2,0,2,0,2,0,2,0,2,0
Vaddemukkala,GUNTUR,PONNUR - 4963,Vaddemukkala,0,0,2,2,0,0,1,1,0,0,2,0,0,0,2,1,1,2,0,1,1,2,0,2,0,2,0,2,0
Vallabharaopalem,GUNTUR,PONNUR - 4963,Vallabharaopalem,0,4,0,1,3,0,2,2,0,4,0,0,2,0,2,4,0,2,2,1,3,3,1,4,0,4,0,1,3
