State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Angalakuduru,GUNTUR,TENALI - 4973,Angalakuduru,0,6,52,45,9,4,52,5,1,13,6,39,0,0,58,58,0,49,9,47,11,51,7,58,0,57,1,54,4
Burripalem,GUNTUR,TENALI - 4973,Burripalem,0,0,36,36,0,0,34,1,1,0,4,32,0,0,36,36,0,30,6,34,2,33,3,27,4,33,3,27,9
Gudivada,GUNTUR,TENALI - 4973,Gudivada,0,16,58,66,6,2,64,3,6,33,10,31,0,0,74,74,0,59,14,72,2,46,28,74,0,73,1,68,6
Katevaram,GUNTUR,TENALI - 4973,Katevaram,0,1,35,31,3,2,18,14,4,5,2,29,0,0,36,36,0,19,17,36,0,11,25,36,0,36,0,20,16
Kolakaluru,GUNTUR,TENALI - 4973,Kolakaluru,1,23,65,84,5,0,75,12,2,58,15,16,0,0,89,88,1,78,11,41,48,48,41,88,1,83,6,72,16
Nandivelugu,GUNTUR,TENALI - 4973,Nandivelugu,0,3,5,8,0,0,8,0,0,5,0,3,0,0,8,8,0,8,0,1,7,1,7,8,0,8,0,8,0
Nelapadu,GUNTUR,TENALI - 4973,Nelapadu,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Pedaravuru,GUNTUR,TENALI - 4973,Pedaravuru,0,3,29,32,0,0,29,2,1,5,6,21,0,0,32,32,0,31,1,15,17,32,0,32,0,30,2,32,0
Sangam Jagarlamudi,GUNTUR,TENALI - 4973,Sangam Jagarlamudi,0,12,26,38,0,0,33,5,0,37,1,0,0,0,38,38,0,38,0,29,9,34,3,38,0,38,0,38,0
TENALI (U),GUNTUR,TENALI - 4973,TENALI (U),0,29,184,206,7,0,205,6,2,97,27,89,0,0,213,211,2,176,37,189,24,165,48,200,12,204,9,178,34
