State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Ananthavarappadu,GUNTUR,VATTICHERUKURU - 4976,Ananthavarappadu,0,11,97,96,12,0,97,8,3,17,17,72,2,0,106,103,4,92,16,66,42,93,15,108,0,107,1,105,3
Chamallamudi,GUNTUR,VATTICHERUKURU - 4976,Chamallamudi,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1
Garapadu,GUNTUR,VATTICHERUKURU - 4976,Garapadu,0,0,2,2,0,0,1,1,0,1,0,1,0,0,2,2,0,2,0,1,1,0,2,2,0,2,0,2,0
Karempudipadu,GUNTUR,VATTICHERUKURU - 4976,Karempudipadu,0,0,4,3,0,1,3,1,0,0,1,3,0,0,4,3,1,3,1,4,0,4,0,4,0,4,0,4,0
Katrapadu,GUNTUR,VATTICHERUKURU - 4976,Katrapadu,0,1,11,5,7,0,10,2,0,2,3,7,5,0,7,12,0,7,5,0,12,10,2,12,0,11,1,12,0
Kornepadu,GUNTUR,VATTICHERUKURU - 4976,Kornepadu,0,8,4,11,1,0,11,1,0,9,0,3,0,0,12,12,0,12,0,1,11,8,4,12,0,12,0,0,12
Kovelamudi,GUNTUR,VATTICHERUKURU - 4976,Kovelamudi,0,0,2,1,0,1,1,1,0,0,1,1,0,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0
Kurnoothala,GUNTUR,VATTICHERUKURU - 4976,Kurnoothala,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1
Lemallepadu,GUNTUR,VATTICHERUKURU - 4976,Lemallepadu,0,2,3,2,3,0,5,0,0,2,1,2,0,0,5,5,0,5,0,0,5,4,1,5,0,5,0,0,5
Mutluru,GUNTUR,VATTICHERUKURU - 4976,Mutluru,1,1,5,7,0,0,5,2,0,1,2,4,0,1,6,7,0,6,1,6,1,7,0,7,0,7,0,7,0
Vatticherukuru,GUNTUR,VATTICHERUKURU - 4976,Vatticherukuru,0,3,11,10,2,2,14,0,0,1,2,11,0,0,14,14,0,13,1,11,3,10,4,14,0,14,0,10,4
