State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Arisepalle,KRISHNA,MACHILIPATNAM - 5122,Arisepalle,0,4,16,2,10,8,4,14,2,0,0,20,0,0,20,14,6,19,1,18,2,4,14,19,1,20,0,20,0
Bhogireddipalle,KRISHNA,MACHILIPATNAM - 5122,Bhogireddipalle,0,6,19,6,6,13,23,1,1,17,6,2,0,0,25,10,15,25,0,8,13,4,19,25,0,25,0,25,0
Borrapothupalem,KRISHNA,MACHILIPATNAM - 5122,Borrapothupalem,0,6,7,8,3,2,9,0,4,9,2,2,0,0,13,0,13,13,0,13,0,3,10,13,0,13,0,13,0
Buddalapalem,KRISHNA,MACHILIPATNAM - 5122,Buddalapalem,0,9,0,6,3,0,9,0,0,9,0,0,0,0,9,0,9,9,0,7,1,0,9,9,0,8,1,9,0
Chilakalapudi (R),KRISHNA,MACHILIPATNAM - 5122,Chilakalapudi (R),0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0
Chinnapuram,KRISHNA,MACHILIPATNAM - 5122,Chinnapuram,0,2,22,1,3,20,13,9,2,1,10,13,0,0,24,16,8,22,2,11,12,3,21,24,0,24,0,24,0
Garaladibba,KRISHNA,MACHILIPATNAM - 5122,Garaladibba,0,3,16,4,2,13,17,0,2,7,8,4,1,0,18,2,17,19,0,15,3,3,16,19,0,19,0,19,0
Gopuvanipalem,KRISHNA,MACHILIPATNAM - 5122,Gopuvanipalem,0,7,12,17,2,0,5,12,2,0,2,17,0,0,19,14,5,17,2,18,1,13,6,18,0,19,0,19,0
Gundupalem,KRISHNA,MACHILIPATNAM - 5122,Gundupalem,0,8,11,16,2,1,12,6,1,17,2,0,0,0,19,1,18,19,0,18,1,3,13,19,0,18,1,18,1
Kanuru,KRISHNA,MACHILIPATNAM - 5122,Kanuru,0,20,3,21,2,0,21,0,2,7,13,3,6,0,17,3,20,22,0,20,2,11,11,22,0,22,0,22,0
Kara Agraharam,KRISHNA,MACHILIPATNAM - 5122,Kara Agraharam,0,1,19,9,1,10,11,3,6,0,0,20,0,0,20,18,2,19,1,19,1,12,8,20,0,19,1,20,0
Kona,KRISHNA,MACHILIPATNAM - 5122,Kona,0,19,4,18,2,3,19,0,4,3,16,4,4,0,19,5,18,23,0,23,0,5,18,23,0,19,4,20,3
Manginapudi,KRISHNA,MACHILIPATNAM - 5122,Manginapudi,0,0,2,1,1,0,0,0,2,0,1,1,0,0,2,2,0,2,0,2,0,0,2,2,0,2,0,2,0
Nelakurru,KRISHNA,MACHILIPATNAM - 5122,Nelakurru,0,15,29,42,1,1,42,1,1,38,1,5,0,0,44,4,40,36,8,37,6,3,41,44,0,44,0,43,1
Pedapatnam,KRISHNA,MACHILIPATNAM - 5122,Pedapatnam,0,18,7,24,1,0,21,3,1,1,2,22,0,0,25,0,25,25,0,24,1,3,2,25,0,25,0,24,1
Pedayadara,KRISHNA,MACHILIPATNAM - 5122,Pedayadara,0,13,34,21,3,23,43,3,1,23,14,10,20,0,27,41,6,41,6,39,5,4,36,47,0,47,0,47,0
Pothepalle,KRISHNA,MACHILIPATNAM - 5122,Pothepalle,0,9,10,0,7,12,17,0,2,0,2,17,0,0,19,19,0,19,0,19,0,5,7,19,0,19,0,19,0
Potlapalem,KRISHNA,MACHILIPATNAM - 5122,Potlapalem,0,5,15,18,1,1,14,4,2,0,9,11,1,0,19,13,7,20,0,19,1,4,16,20,0,20,0,20,0
Rudravaram,KRISHNA,MACHILIPATNAM - 5122,Rudravaram,0,15,4,17,0,2,12,6,1,4,5,10,0,0,19,2,17,19,0,19,0,4,12,19,0,15,4,17,2
Sultanagaram,KRISHNA,MACHILIPATNAM - 5122,Sultanagaram,0,0,20,0,7,13,18,0,2,0,5,15,0,0,20,14,6,20,0,19,1,3,16,19,0,20,0,19,1
Sultannagaram Gollapalem,KRISHNA,MACHILIPATNAM - 5122,Sultannagaram Gollapalem,0,7,13,11,3,6,17,0,3,17,0,3,0,0,20,3,17,18,2,20,0,17,3,20,0,17,3,20,0
Tallapalem,KRISHNA,MACHILIPATNAM - 5122,Tallapalem,0,12,33,18,5,22,41,0,4,10,5,30,0,0,45,15,30,45,0,40,5,13,21,45,0,45,0,44,1
Tavisipudi,KRISHNA,MACHILIPATNAM - 5122,Tavisipudi,0,10,5,15,0,0,2,10,3,0,0,15,0,0,15,5,10,15,0,15,0,0,3,15,0,15,0,15,0
