State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Annavaram,KRISHNA,MOPIDEVI - 5124,Annavaram,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Kokkiligadda,KRISHNA,MOPIDEVI - 5124,Kokkiligadda,1,37,9,1,10,36,42,4,1,42,3,2,0,1,46,43,4,44,3,34,13,31,15,47,0,44,3,44,3
Mellamarthi Lanka,KRISHNA,MOPIDEVI - 5124,Mellamarthi Lanka,30,0,0,1,3,26,30,0,0,26,4,0,2,0,28,27,3,19,11,22,8,19,11,30,0,30,0,29,1
Merakanapalle,KRISHNA,MOPIDEVI - 5124,Merakanapalle,16,0,4,0,0,20,20,0,0,9,4,7,0,0,20,20,0,10,10,9,11,16,4,20,0,20,0,18,2
Mopidevi,KRISHNA,MOPIDEVI - 5124,Mopidevi,36,6,7,7,8,34,49,0,0,13,5,31,0,0,49,20,29,43,6,41,8,35,14,49,0,48,1,48,1
Mopidevi Lanka,KRISHNA,MOPIDEVI - 5124,Mopidevi Lanka,14,0,0,2,8,4,14,0,0,0,0,14,1,0,13,14,0,8,6,14,0,14,0,14,0,8,6,14,0
Nagayatippa,KRISHNA,MOPIDEVI - 5124,Nagayatippa,9,0,9,2,6,10,18,0,0,7,0,11,1,0,17,18,0,11,7,17,1,18,0,18,0,18,0,17,1
North Chiruvolulanka,KRISHNA,MOPIDEVI - 5124,North Chiruvolulanka,31,0,1,11,17,4,32,0,0,31,1,0,0,0,32,31,1,22,10,24,8,27,5,32,0,32,0,31,1
Pedakallepalle,KRISHNA,MOPIDEVI - 5124,Pedakallepalle,28,0,3,0,3,28,31,0,0,30,0,1,0,0,31,27,4,12,19,22,9,24,7,31,0,31,0,31,0
Pedaprolu,KRISHNA,MOPIDEVI - 5124,Pedaprolu,0,22,10,0,8,24,7,25,0,24,3,5,0,0,32,31,1,32,0,31,1,22,10,32,0,32,0,32,0
Tekupalle,KRISHNA,MOPIDEVI - 5124,Tekupalle,13,0,0,0,1,12,12,1,0,7,1,5,0,0,13,10,3,6,7,8,5,12,1,13,0,13,0,12,1
Venkatapuram,KRISHNA,MOPIDEVI - 5124,Venkatapuram,3,33,16,14,26,12,46,6,0,14,28,10,0,0,52,23,29,52,0,33,19,49,3,50,2,38,14,50,2
