State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Aripirala,KRISHNA,NANDIVADA - 5131,Aripirala,0,0,3,2,1,0,0,3,0,2,1,0,0,0,3,3,0,3,0,1,2,0,3,3,0,3,0,3,0
Chedurthipadu,KRISHNA,NANDIVADA - 5131,Chedurthipadu,0,1,15,2,11,3,1,8,7,6,10,0,2,0,14,14,2,16,0,9,7,9,7,14,2,16,0,16,0
Chinalingala,KRISHNA,NANDIVADA - 5131,Chinalingala,0,5,14,16,3,0,16,3,0,16,3,0,0,0,19,19,0,19,0,10,9,12,7,17,2,19,0,19,0
Ilaparru,KRISHNA,NANDIVADA - 5131,Ilaparru,0,0,4,4,0,0,0,3,1,0,4,0,0,0,4,4,0,4,0,1,3,4,0,4,0,4,0,4,0
Janardhanapuram,KRISHNA,NANDIVADA - 5131,Janardhanapuram,0,5,7,3,4,5,1,11,0,9,3,0,0,0,12,12,0,12,0,9,3,6,6,12,0,12,0,12,0
Kudaravalli,KRISHNA,NANDIVADA - 5131,Kudaravalli,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Nuthulapadu,KRISHNA,NANDIVADA - 5131,Nuthulapadu,0,0,8,2,6,0,0,8,0,8,0,0,0,0,8,8,0,8,0,4,4,5,3,6,2,8,0,6,2
Oddulameraka,KRISHNA,NANDIVADA - 5131,Oddulameraka,0,8,18,6,8,12,6,10,10,3,17,6,0,0,26,25,1,26,0,4,22,4,22,25,1,26,0,24,2
Pedalingala,KRISHNA,NANDIVADA - 5131,Pedalingala,0,0,11,11,0,0,11,0,0,6,3,2,0,0,11,11,0,11,0,9,2,11,0,10,1,11,0,11,0
Puttagunta,KRISHNA,NANDIVADA - 5131,Puttagunta,0,2,4,6,0,0,6,0,0,5,1,0,0,0,6,5,1,6,0,1,5,3,3,6,0,6,0,6,0
Tamirisa,KRISHNA,NANDIVADA - 5131,Tamirisa,0,7,9,16,0,0,16,0,0,16,0,0,0,0,16,7,9,15,1,6,10,12,4,15,1,16,0,16,0
