State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Addada,KRISHNA,PAMARRU - 5133,Addada,0,0,16,0,3,13,0,0,16,3,8,5,0,0,16,16,0,13,3,15,1,0,0,16,0,16,0,2,5
Ainampudi,KRISHNA,PAMARRU - 5133,Ainampudi,0,0,13,0,4,9,0,0,13,9,3,1,0,0,13,13,0,10,3,13,0,0,0,13,0,13,0,2,3
Jujjavaram,KRISHNA,PAMARRU - 5133,Jujjavaram,0,23,8,3,14,14,0,0,31,0,20,11,0,0,31,31,0,31,0,4,27,2,29,30,1,31,0,4,27
Kanumuru,KRISHNA,PAMARRU - 5133,Kanumuru,0,16,12,1,3,24,0,0,28,16,10,2,1,0,27,10,18,26,2,0,28,2,26,28,0,28,0,2,25
Komaravolu,KRISHNA,PAMARRU - 5133,Komaravolu,0,1,21,2,7,13,0,0,22,0,2,20,0,0,22,21,1,22,0,20,2,0,0,22,0,22,0,9,10
Kondiparru,KRISHNA,PAMARRU - 5133,Kondiparru,0,14,7,1,11,9,0,7,14,2,0,19,0,0,21,20,0,4,17,3,19,13,8,22,0,21,0,10,10
Kurumaddali,KRISHNA,PAMARRU - 5133,Kurumaddali,0,9,32,19,18,4,0,2,39,28,7,6,0,0,41,28,13,39,2,6,35,36,5,41,0,41,0,39,2
Nemmikuru,KRISHNA,PAMARRU - 5133,Nemmikuru,0,2,27,5,24,0,0,0,29,6,1,22,0,0,29,25,4,16,13,2,27,24,5,29,0,29,0,29,0
Nibhanupudi,KRISHNA,PAMARRU - 5133,Nibhanupudi,0,0,5,1,4,0,0,0,5,2,0,3,0,0,5,3,2,3,2,2,3,4,1,5,0,5,0,5,0
Nimmaluru,KRISHNA,PAMARRU - 5133,Nimmaluru,0,0,10,0,7,3,0,0,10,4,0,6,0,0,10,7,3,8,2,3,5,6,4,10,0,10,0,10,0
Pamarru,KRISHNA,PAMARRU - 5133,Pamarru,0,13,100,37,47,29,0,0,113,39,19,55,1,0,112,90,23,112,1,30,83,73,40,113,0,113,0,85,28
Pasumarru,KRISHNA,PAMARRU - 5133,Pasumarru,0,8,59,1,12,54,0,0,67,54,12,1,0,1,65,67,0,62,4,66,1,0,0,67,0,67,0,21,9
Pedamaddali,KRISHNA,PAMARRU - 5133,Pedamaddali,0,0,60,0,14,46,0,0,60,52,8,0,0,0,60,60,0,58,2,15,45,5,55,60,0,60,0,20,40
Polavaram,KRISHNA,PAMARRU - 5133,Polavaram,0,7,7,1,4,9,0,0,14,0,1,13,0,0,14,14,0,13,1,5,8,7,7,14,0,14,0,14,0
Prakarla,KRISHNA,PAMARRU - 5133,Prakarla,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0
Raparala,KRISHNA,PAMARRU - 5133,Raparala,0,5,10,0,7,8,0,0,15,12,3,0,0,0,15,13,2,14,1,7,8,11,4,15,0,15,0,15,0
Rimmanapudi,KRISHNA,PAMARRU - 5133,Rimmanapudi,0,3,8,0,9,2,0,5,6,0,3,8,0,0,11,10,1,3,8,5,6,9,2,11,0,11,0,10,1
Undrapudi,KRISHNA,PAMARRU - 5133,Undrapudi,0,5,10,1,4,10,0,0,15,2,7,6,0,0,15,14,1,15,0,7,8,10,5,15,0,15,0,15,0
Uruturu,KRISHNA,PAMARRU - 5133,Uruturu,0,14,1,1,8,6,0,0,15,5,4,6,0,0,15,15,0,15,0,7,6,13,2,15,0,15,0,15,0
Yelakurru,KRISHNA,PAMARRU - 5133,Yelakurru,0,5,19,2,16,6,0,0,24,0,0,24,0,0,24,16,8,14,10,6,16,6,18,24,0,24,0,24,0
Zamidaggumilli,KRISHNA,PAMARRU - 5133,Zamidaggumilli,0,2,8,0,8,2,0,0,10,0,0,10,0,0,10,10,0,9,1,4,5,1,9,10,0,10,0,10,0
Zamigolvepalle,KRISHNA,PAMARRU - 5133,Zamigolvepalle,0,1,24,0,4,21,0,0,25,2,4,19,0,0,25,22,3,25,0,9,11,6,10,25,0,25,0,11,9
