State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Aginiparru,KRISHNA,PAMIDIMUKKALA - 5134,Aginiparru,7,25,0,27,5,0,25,7,0,32,0,0,0,0,32,32,0,10,22,26,5,25,7,32,0,32,0,32,0
Choragudi,KRISHNA,PAMIDIMUKKALA - 5134,Choragudi,0,31,0,0,1,30,28,3,0,3,15,13,0,0,31,30,1,30,1,26,5,24,6,31,0,31,0,31,0
Gopuvanipalem,KRISHNA,PAMIDIMUKKALA - 5134,Gopuvanipalem,2,18,0,0,11,9,20,0,0,20,0,0,0,0,20,18,2,16,4,9,11,10,9,20,0,12,8,20,0
Gurazada,KRISHNA,PAMIDIMUKKALA - 5134,Gurazada,8,23,2,8,24,1,33,0,0,33,0,0,0,0,33,29,4,17,16,19,12,9,21,32,1,33,0,33,0
Gurrala Lanka,KRISHNA,PAMIDIMUKKALA - 5134,Gurrala Lanka,0,4,18,1,14,7,0,0,22,2,12,8,0,0,22,22,0,22,0,9,13,11,11,22,0,22,0,20,2
Hanumanthapuram,KRISHNA,PAMIDIMUKKALA - 5134,Hanumanthapuram,2,29,1,3,13,16,32,0,0,32,0,0,0,0,32,32,0,28,4,16,14,31,1,18,10,32,0,32,0
Inampudi,KRISHNA,PAMIDIMUKKALA - 5134,Inampudi,3,16,12,14,12,5,31,0,0,28,3,0,0,0,31,31,0,21,10,14,14,27,4,30,0,31,0,31,0
Kapileswarapuram,KRISHNA,PAMIDIMUKKALA - 5134,Kapileswarapuram,3,58,3,2,31,31,64,0,0,56,6,2,0,0,64,64,0,60,4,29,31,39,25,45,11,55,9,63,1
Krishnapuram,KRISHNA,PAMIDIMUKKALA - 5134,Krishnapuram,0,32,0,1,8,23,32,0,0,21,10,1,0,0,32,31,1,14,18,25,7,10,16,32,0,32,0,32,0
Kuderu,KRISHNA,PAMIDIMUKKALA - 5134,Kuderu,0,27,0,0,1,26,27,0,0,11,13,3,0,0,27,27,0,27,0,25,2,24,3,27,0,27,0,27,0
Lankapalle,KRISHNA,PAMIDIMUKKALA - 5134,Lankapalle,0,28,0,0,0,28,28,0,0,21,7,0,0,0,28,28,0,27,1,24,4,26,2,28,0,27,1,27,1
Mantada,KRISHNA,PAMIDIMUKKALA - 5134,Mantada,0,23,9,1,14,17,32,0,0,29,0,3,0,0,32,32,0,13,19,11,17,9,19,32,0,32,0,32,0
Marrivada,KRISHNA,PAMIDIMUKKALA - 5134,Marrivada,6,21,5,0,11,21,32,0,0,23,9,0,0,0,32,21,11,8,24,19,12,18,13,32,0,24,8,32,0
Meduru,KRISHNA,PAMIDIMUKKALA - 5134,Meduru,17,16,2,25,6,4,32,3,0,30,5,0,0,0,35,34,1,21,14,26,9,31,4,35,0,35,0,34,1
Padikondalapalem,KRISHNA,PAMIDIMUKKALA - 5134,Padikondalapalem,0,25,5,21,9,0,29,1,0,30,0,0,0,1,29,30,0,12,18,24,6,29,1,30,0,30,0,30,0
Tadanki,KRISHNA,PAMIDIMUKKALA - 5134,Tadanki,0,11,1,0,7,5,12,0,0,12,0,0,0,0,12,12,0,10,2,7,4,9,3,12,0,11,1,12,0
Veeranki,KRISHNA,PAMIDIMUKKALA - 5134,Veeranki,11,20,0,14,17,0,17,14,0,29,2,0,0,0,31,31,0,18,13,26,5,29,2,31,0,31,0,31,0
