State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Balliparru,KRISHNA,PEDANA - 5135,Balliparru,0,21,12,21,10,2,0,0,33,0,10,23,1,0,32,25,8,17,16,33,0,8,25,27,6,33,0,32,1
Chennuru,KRISHNA,PEDANA - 5135,Chennuru,0,17,32,5,24,20,19,0,30,49,0,0,0,0,49,26,23,49,0,31,16,13,36,48,1,49,0,36,13
Chevendra,KRISHNA,PEDANA - 5135,Chevendra,1,40,13,25,18,11,54,0,0,52,2,0,0,0,54,42,12,54,0,50,4,33,21,54,0,54,0,54,0
Chodavaram,KRISHNA,PEDANA - 5135,Chodavaram,0,16,16,4,28,0,32,0,0,21,0,11,0,0,32,5,27,32,0,18,14,13,19,32,0,32,0,31,1
Devarapalle,KRISHNA,PEDANA - 5135,Devarapalle,0,7,5,0,0,12,11,0,1,7,3,2,0,0,12,5,7,12,0,5,7,1,11,12,0,12,0,12,0
Dirisavalli,KRISHNA,PEDANA - 5135,Dirisavalli,0,18,18,2,6,28,36,0,0,36,0,0,0,0,36,21,15,36,0,27,9,21,15,36,0,36,0,36,0
Gurivindagunta,KRISHNA,PEDANA - 5135,Gurivindagunta,0,2,8,3,2,5,6,4,0,10,0,0,0,0,10,2,8,10,0,7,3,2,2,10,0,10,0,10,0
Jinjeru,KRISHNA,PEDANA - 5135,Jinjeru,0,1,36,0,3,34,5,10,22,12,21,4,0,0,37,32,5,32,5,28,8,8,23,24,0,37,0,37,0
Kakarlamudi,KRISHNA,PEDANA - 5135,Kakarlamudi,0,21,29,2,17,31,12,38,0,30,13,7,5,0,45,37,13,50,0,46,4,26,14,24,8,50,0,50,0
Kamalapuram,KRISHNA,PEDANA - 5135,Kamalapuram,0,9,9,0,8,10,15,3,0,18,0,0,0,0,18,3,15,18,0,13,5,7,4,15,0,18,0,18,0
Kavipuram,KRISHNA,PEDANA - 5135,Kavipuram,0,4,3,2,5,0,7,0,0,7,0,0,0,0,7,1,6,7,0,7,0,6,1,7,0,7,0,7,0
Kongamcherla,KRISHNA,PEDANA - 5135,Kongamcherla,0,1,10,0,1,10,7,4,0,11,0,0,0,0,11,3,8,11,0,10,1,0,0,11,0,11,0,11,0
Konkepudi,KRISHNA,PEDANA - 5135,Konkepudi,0,20,30,7,28,15,49,1,0,50,0,0,0,0,50,24,26,50,0,47,3,49,1,50,0,50,0,50,0
Koppalle,KRISHNA,PEDANA - 5135,Koppalle,0,3,19,3,9,10,7,12,3,16,6,0,0,0,22,10,12,22,0,8,14,19,3,22,0,21,1,22,0
Kuduru,KRISHNA,PEDANA - 5135,Kuduru,0,3,18,11,9,1,0,9,12,17,4,0,0,0,21,8,13,21,0,12,8,1,18,21,0,19,2,21,0
Kummarigunta,KRISHNA,PEDANA - 5135,Kummarigunta,0,0,3,0,0,3,1,2,0,3,0,0,0,0,3,0,3,3,0,3,0,0,0,3,0,3,0,3,0
Lankalakalavagunta,KRISHNA,PEDANA - 5135,Lankalakalavagunta,0,17,8,2,7,16,1,19,5,10,15,0,1,0,24,0,25,25,0,22,3,0,0,25,0,25,0,25,0
Madaka,KRISHNA,PEDANA - 5135,Madaka,0,4,14,1,10,7,0,0,18,5,11,2,0,0,18,12,6,18,0,17,0,8,10,18,0,18,0,18,0
Mutcherla,KRISHNA,PEDANA - 5135,Mutcherla,0,1,10,4,6,1,6,5,0,5,6,0,0,0,11,6,5,11,0,10,1,8,3,11,0,11,0,11,0
Mutchiligunta,KRISHNA,PEDANA - 5135,Mutchiligunta,0,0,2,2,0,0,1,1,0,1,1,0,0,0,2,1,1,2,0,2,0,1,1,2,0,2,0,2,0
Nadupuru,KRISHNA,PEDANA - 5135,Nadupuru,0,4,9,5,5,3,0,12,1,13,0,0,0,0,13,9,4,13,0,4,7,0,11,13,0,13,0,13,0
Nandamuru,KRISHNA,PEDANA - 5135,Nandamuru,0,0,31,1,10,20,1,22,8,7,5,19,0,0,31,30,1,30,1,30,1,20,11,31,0,31,0,31,0
Nandigama,KRISHNA,PEDANA - 5135,Nandigama,0,2,27,1,13,15,13,13,3,24,5,0,0,0,29,13,16,29,0,8,21,10,19,29,0,29,0,29,0
PEDANA,KRISHNA,PEDANA - 5135,PEDANA,0,41,20,19,20,22,4,27,30,23,12,26,1,0,60,23,38,61,0,22,37,23,34,57,1,60,1,59,2
Pullapadu,KRISHNA,PEDANA - 5135,Pullapadu,0,11,2,0,1,12,13,0,0,5,5,3,0,0,13,5,8,12,1,9,4,1,12,13,0,13,0,13,0
Singarayapalem,KRISHNA,PEDANA - 5135,Singarayapalem,0,22,14,0,23,13,5,29,2,1,3,32,0,0,36,35,1,35,1,29,7,0,36,36,0,36,0,11,25
Urivi,KRISHNA,PEDANA - 5135,Urivi,0,35,25,5,26,29,5,53,2,44,16,0,0,0,60,2,58,60,0,53,7,0,1,60,0,60,0,57,3
