State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Appikatla,KRISHNA,PEDAPARUPUDI - 5136,Appikatla,0,8,2,0,4,6,8,2,0,0,2,8,0,0,10,9,1,10,0,10,0,0,8,10,0,10,0,10,0
Bhushanagulla (R),KRISHNA,PEDAPARUPUDI - 5136,Bhushanagulla (R),0,11,0,1,3,7,10,1,0,9,2,0,0,0,11,11,0,11,0,5,6,3,3,11,0,9,2,11,0
Chinaparupudi,KRISHNA,PEDAPARUPUDI - 5136,Chinaparupudi,0,18,2,1,15,4,17,3,0,4,6,10,1,0,19,13,7,19,1,13,7,2,7,20,0,20,0,20,0
Edulamaddali,KRISHNA,PEDAPARUPUDI - 5136,Edulamaddali,0,24,0,0,12,12,24,0,0,9,0,15,0,0,23,24,0,24,0,15,9,1,14,24,0,24,0,24,0
Elamarru,KRISHNA,PEDAPARUPUDI - 5136,Elamarru,0,61,6,0,8,59,19,33,15,3,17,47,0,0,67,62,5,60,7,65,2,36,9,67,0,67,0,67,0
Gurivindagunta,KRISHNA,PEDAPARUPUDI - 5136,Gurivindagunta,0,9,1,2,3,5,10,0,0,10,0,0,1,0,9,9,1,10,0,8,2,7,2,10,0,10,0,10,0
Juvvanapudi,KRISHNA,PEDAPARUPUDI - 5136,Juvvanapudi,0,9,0,0,8,1,7,2,0,0,0,9,0,0,9,8,1,5,4,9,0,1,7,9,0,9,0,9,0
Kornipadu,KRISHNA,PEDAPARUPUDI - 5136,Kornipadu,0,10,0,1,7,2,10,0,0,10,0,0,0,0,10,10,0,10,0,6,4,7,3,10,0,10,0,10,0
Maheswarapuram,KRISHNA,PEDAPARUPUDI - 5136,Maheswarapuram,1,9,0,1,2,7,10,0,0,9,1,0,0,0,10,10,0,10,0,5,5,3,1,10,0,9,1,10,0
Moparru,KRISHNA,PEDAPARUPUDI - 5136,Moparru,0,23,3,1,13,12,21,5,0,5,9,12,0,0,26,23,3,18,8,5,21,0,7,26,0,26,0,26,0
Pamulapadu,KRISHNA,PEDAPARUPUDI - 5136,Pamulapadu,1,26,11,2,13,23,38,0,0,15,6,16,0,0,38,38,0,37,1,7,31,4,29,38,0,38,0,38,0
Pedaparupudi,KRISHNA,PEDAPARUPUDI - 5136,Pedaparupudi,0,24,2,1,3,22,26,0,0,13,5,8,0,0,26,21,5,26,0,21,5,2,20,26,0,26,0,26,0
Ravulapadu,KRISHNA,PEDAPARUPUDI - 5136,Ravulapadu,0,9,2,3,1,7,11,0,0,11,0,0,0,0,11,11,0,11,0,10,1,8,1,11,0,11,0,11,0
Somavarappadu,KRISHNA,PEDAPARUPUDI - 5136,Somavarappadu,0,8,7,2,6,7,15,0,0,3,7,5,0,0,15,15,0,14,1,5,10,0,12,15,0,15,0,14,0
Vanapamula,KRISHNA,PEDAPARUPUDI - 5136,Vanapamula,0,17,13,5,8,17,10,16,4,6,14,10,0,0,30,29,1,27,3,10,20,22,7,30,0,30,0,30,0
Ventrapragada,KRISHNA,PEDAPARUPUDI - 5136,Ventrapragada,0,67,10,3,16,58,66,10,1,33,20,24,0,0,77,77,0,74,3,68,9,27,16,77,0,77,0,76,1
Vinjarampadu,KRISHNA,PEDAPARUPUDI - 5136,Vinjarampadu,0,5,2,0,3,4,7,0,0,0,4,3,0,0,7,7,0,4,3,0,7,0,2,7,0,7,0,7,0
Zamidintakurru,KRISHNA,PEDAPARUPUDI - 5136,Zamidintakurru,0,10,0,1,4,5,10,0,0,10,0,0,0,0,10,10,0,10,0,9,1,4,5,10,0,10,0,10,0
