State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Chodavaram,KRISHNA,PENAMALURU - 5137,Chodavaram,0,0,11,0,10,1,0,0,11,1,3,7,0,0,11,11,0,3,8,4,7,2,9,11,0,11,0,8,3
Ganguru (OG),KRISHNA,PENAMALURU - 5137,Ganguru (OG),0,4,23,4,10,13,1,11,15,0,9,18,0,0,27,12,15,27,0,2,25,12,15,22,5,27,0,26,1
Gosala,KRISHNA,PENAMALURU - 5137,Gosala,0,0,8,0,3,5,0,2,6,0,2,6,0,0,8,8,0,2,6,2,6,5,3,8,0,8,0,8,0
Kanuru (CT),KRISHNA,PENAMALURU - 5137,Kanuru (CT),0,0,8,1,3,4,0,2,6,1,4,3,0,0,8,7,1,2,6,6,2,8,0,8,0,8,0,8,0
Pedapulipaka,KRISHNA,PENAMALURU - 5137,Pedapulipaka,0,0,10,0,2,8,0,0,10,0,0,10,0,0,10,8,2,4,6,4,6,1,9,10,0,10,0,10,0
Penamaluru (OG),KRISHNA,PENAMALURU - 5137,Penamaluru (OG),0,0,11,2,4,5,0,0,11,3,4,4,0,0,11,4,7,6,5,3,8,5,6,11,0,11,0,11,0
Poranki (CT),KRISHNA,PENAMALURU - 5137,Poranki (CT),0,1,10,0,6,5,0,0,11,2,7,2,0,0,11,7,4,7,4,7,4,9,2,11,0,11,0,7,4
Tadigadapa (CT),KRISHNA,PENAMALURU - 5137,Tadigadapa (CT),0,1,10,1,4,6,0,1,10,2,4,5,0,0,11,3,8,6,5,7,4,11,0,11,0,11,0,11,0
Vanukuru,KRISHNA,PENAMALURU - 5137,Vanukuru,0,0,11,0,5,6,0,1,10,5,2,4,0,0,11,5,6,8,3,6,5,10,1,11,0,11,0,10,1
Yenamalakuduru (CT),KRISHNA,PENAMALURU - 5137,Yenamalakuduru (CT),0,9,0,4,2,3,0,1,8,1,6,2,0,0,9,5,4,1,8,6,3,8,1,9,0,9,0,9,0
