State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Boddapadu,KRISHNA,THOTLAVALLURU - 5140,Boddapadu,0,13,1,7,5,2,14,0,0,9,3,2,0,0,14,12,2,14,0,0,14,3,11,14,0,14,0,14,0
Chagantipadu,KRISHNA,THOTLAVALLURU - 5140,Chagantipadu,0,7,4,9,2,0,11,0,0,10,1,0,0,0,11,11,0,11,0,0,11,3,8,11,0,11,0,11,0
Chinapulipaka,KRISHNA,THOTLAVALLURU - 5140,Chinapulipaka,0,10,0,7,3,0,10,0,0,3,3,4,0,0,10,9,1,10,0,0,10,2,8,10,0,10,0,10,0
Devarapalle,KRISHNA,THOTLAVALLURU - 5140,Devarapalle,0,5,4,0,1,8,9,0,0,5,1,3,0,0,9,9,0,9,0,0,9,2,7,9,0,9,0,9,0
Garikaparru,KRISHNA,THOTLAVALLURU - 5140,Garikaparru,0,15,5,2,9,9,20,0,0,1,7,12,0,0,20,20,0,20,0,0,20,1,19,19,1,20,0,10,10
Gurivindapalle,KRISHNA,THOTLAVALLURU - 5140,Gurivindapalle,0,9,1,0,1,9,10,0,0,10,0,0,0,0,10,9,1,10,0,0,10,0,10,10,0,10,0,10,0
Iluru,KRISHNA,THOTLAVALLURU - 5140,Iluru,0,0,2,0,0,2,2,0,0,2,0,0,0,0,2,2,0,2,0,0,2,0,2,2,0,2,0,2,0
Mulakalapalle,KRISHNA,THOTLAVALLURU - 5140,Mulakalapalle,0,0,3,0,0,3,3,0,0,3,0,0,0,0,3,2,1,2,1,0,3,0,3,3,0,3,0,3,0
North Valluru,KRISHNA,THOTLAVALLURU - 5140,North Valluru,0,20,18,1,10,27,37,1,0,23,12,3,0,0,38,34,4,36,2,2,36,7,31,38,0,38,0,36,2
Penamakuru,KRISHNA,THOTLAVALLURU - 5140,Penamakuru,0,18,7,0,3,22,22,3,0,24,1,0,0,0,25,25,0,25,0,0,25,0,25,25,0,25,0,25,0
Royyuru,KRISHNA,THOTLAVALLURU - 5140,Royyuru,0,15,0,9,4,2,15,0,0,0,1,14,0,0,15,15,0,15,0,0,15,5,10,15,0,15,0,14,1
South Valluru,KRISHNA,THOTLAVALLURU - 5140,South Valluru,0,26,31,17,18,22,28,0,29,40,10,7,0,1,56,50,7,56,1,14,43,34,23,57,0,57,0,45,12
Yakamuru,KRISHNA,THOTLAVALLURU - 5140,Yakamuru,0,12,0,7,3,2,12,0,0,12,0,0,0,0,12,7,5,10,2,2,10,7,5,12,0,12,0,12,0
