State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Amudalapalle,KRISHNA,UNGUTURU - 5142,Amudalapalle,1,13,2,0,16,0,16,0,0,16,0,0,0,0,16,12,4,3,13,16,0,12,4,16,0,16,0,16,0
Atkuru,KRISHNA,UNGUTURU - 5142,Atkuru,0,28,12,4,22,14,37,1,2,16,23,1,0,0,40,40,0,29,11,33,4,9,16,40,0,38,2,40,0
Dibbanapudi,KRISHNA,UNGUTURU - 5142,Dibbanapudi,0,1,5,0,6,0,6,0,0,6,0,0,0,0,6,6,0,5,1,6,0,4,2,6,0,6,0,6,0
Garapadu,KRISHNA,UNGUTURU - 5142,Garapadu,0,6,6,0,12,0,12,0,0,12,0,0,0,0,12,11,1,5,7,12,0,9,3,12,0,12,0,12,0
Indupalle,KRISHNA,UNGUTURU - 5142,Indupalle,0,21,19,0,16,24,40,0,0,5,25,10,0,0,40,40,0,32,8,23,9,2,20,40,0,34,6,40,0
Koyyagurapadu,KRISHNA,UNGUTURU - 5142,Koyyagurapadu,0,0,5,0,5,0,5,0,0,4,1,0,0,0,5,5,0,4,1,5,0,0,5,5,0,5,0,5,0
Lankapalle Agraharam,KRISHNA,UNGUTURU - 5142,Lankapalle Agraharam,0,3,7,0,0,10,10,0,0,9,0,1,0,0,10,10,0,4,6,7,2,6,4,10,0,10,0,10,0
Manikonda,KRISHNA,UNGUTURU - 5142,Manikonda,0,53,19,0,2,70,36,36,0,36,7,29,0,0,72,48,24,65,7,34,27,42,27,72,0,72,0,72,0
Mukkapadu,KRISHNA,UNGUTURU - 5142,Mukkapadu,0,4,5,0,0,9,8,1,0,5,3,1,0,0,9,9,0,6,3,3,6,8,1,9,0,9,0,9,0
Nagavarappadu,KRISHNA,UNGUTURU - 5142,Nagavarappadu,0,6,5,0,0,11,11,0,0,0,11,0,0,0,11,11,0,8,3,8,3,1,0,11,0,11,0,11,0
Nandamuru,KRISHNA,UNGUTURU - 5142,Nandamuru,0,15,21,1,33,2,36,0,0,36,0,0,0,0,36,35,1,11,25,30,2,28,8,36,0,36,0,36,0
Ondrampadu,KRISHNA,UNGUTURU - 5142,Ondrampadu,0,6,3,0,4,5,9,0,0,9,0,0,0,0,9,9,0,2,7,9,0,2,7,9,0,9,0,8,1
Peda Avutapalle,KRISHNA,UNGUTURU - 5142,Peda Avutapalle,1,20,15,0,0,36,36,0,0,10,23,3,0,1,35,36,0,32,4,36,0,8,9,36,0,35,1,36,0
Ponukumadu,KRISHNA,UNGUTURU - 5142,Ponukumadu,0,19,1,4,10,6,19,1,0,20,0,0,0,0,20,20,0,10,10,20,0,20,0,20,0,20,0,20,0
Pottipadu,KRISHNA,UNGUTURU - 5142,Pottipadu,0,25,11,1,15,20,35,1,0,4,12,20,0,0,36,36,0,30,6,34,1,6,14,36,0,34,2,36,0
Tarigoppula,KRISHNA,UNGUTURU - 5142,Tarigoppula,0,29,3,0,2,30,28,3,1,32,0,0,0,0,32,32,0,25,7,32,0,18,14,32,0,32,0,32,0
Tarigoppula Khandrika,KRISHNA,UNGUTURU - 5142,Tarigoppula Khandrika,0,2,0,0,0,2,1,1,0,2,0,0,0,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0
Telaprolu,KRISHNA,UNGUTURU - 5142,Telaprolu,0,57,20,12,29,36,74,0,3,68,7,2,0,1,76,55,22,35,42,67,10,71,6,77,0,70,7,76,1
Tuttagunta,KRISHNA,UNGUTURU - 5142,Tuttagunta,0,3,5,0,0,8,8,0,0,0,3,5,0,0,8,8,0,6,2,6,1,0,0,8,0,8,0,8,0
Unguturu,KRISHNA,UNGUTURU - 5142,Unguturu,0,4,26,1,6,23,0,0,30,6,10,14,1,0,29,25,5,30,0,22,8,10,20,30,0,30,0,30,0
Veldipadu,KRISHNA,UNGUTURU - 5142,Veldipadu,0,3,0,0,0,3,3,0,0,0,1,2,0,0,3,3,0,0,3,1,2,0,0,3,0,3,0,3,0
Veldipadu Khandrika,KRISHNA,UNGUTURU - 5142,Veldipadu Khandrika,0,4,0,0,0,4,4,0,0,0,4,0,0,0,4,4,0,3,1,4,0,1,1,4,0,4,0,4,0
Velinutala,KRISHNA,UNGUTURU - 5142,Velinutala,0,7,1,0,1,7,7,1,0,1,5,2,0,0,8,8,0,8,0,5,2,2,1,8,0,8,0,8,0
Vemanda,KRISHNA,UNGUTURU - 5142,Vemanda,0,7,3,0,10,0,10,0,0,6,3,1,2,0,8,10,0,3,7,10,0,6,4,10,0,10,0,10,0
Vempadu,KRISHNA,UNGUTURU - 5142,Vempadu,0,15,18,0,0,33,33,0,0,6,16,11,0,0,33,33,0,27,6,14,9,0,0,33,0,33,0,33,0
