State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Akunuru,KRISHNA,VUYYURU - 5148,Akunuru,0,25,4,0,1,28,29,0,0,16,9,4,0,0,29,26,3,23,6,29,0,29,0,29,0,29,0,29,0
Bollapadu,KRISHNA,VUYYURU - 5148,Bollapadu,5,24,0,1,3,25,29,0,0,22,7,0,1,1,27,29,0,24,5,29,0,27,2,29,0,29,0,29,0
China Ogirala,KRISHNA,VUYYURU - 5148,China Ogirala,0,16,13,28,0,1,29,0,0,26,3,0,0,0,29,27,2,17,12,29,0,25,4,29,0,29,0,29,0
Kadavakollu,KRISHNA,VUYYURU - 5148,Kadavakollu,0,1,4,1,4,0,4,1,0,5,0,0,0,0,5,4,1,5,0,5,0,5,0,5,0,5,0,5,0
Kalavapamula,KRISHNA,VUYYURU - 5148,Kalavapamula,0,19,10,6,18,5,29,0,0,29,0,0,1,0,28,19,10,29,0,29,0,27,2,29,0,27,2,29,0
Katuru,KRISHNA,VUYYURU - 5148,Katuru,0,25,35,12,32,16,59,0,1,55,3,2,0,0,60,49,11,59,1,60,0,59,1,58,2,58,2,60,0
Mudunuru,KRISHNA,VUYYURU - 5148,Mudunuru,0,25,3,0,2,26,28,0,0,28,0,0,0,0,28,21,7,26,2,28,0,27,1,28,0,28,0,28,0
Peda Ogirala,KRISHNA,VUYYURU - 5148,Peda Ogirala,0,29,0,13,16,0,28,1,0,25,4,0,0,0,29,27,2,26,3,27,2,29,0,29,0,29,0,29,0
Veeravalli Mokhasa,KRISHNA,VUYYURU - 5148,Veeravalli Mokhasa,0,1,2,1,2,0,3,0,0,2,0,1,0,0,3,3,0,3,0,3,0,3,0,3,0,3,0,3,0
Vuyyuru,KRISHNA,VUYYURU - 5148,Vuyyuru,0,44,85,57,58,14,47,5,77,77,40,12,0,0,129,50,79,124,5,128,1,127,2,129,0,129,0,127,2
