State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Agasanur,KURNOOL,KOSIGI - 5174,Agasanur,4,62,55,28,73,20,95,24,2,4,39,78,13,0,108,111,10,121,0,7,114,43,78,116,5,104,17,86,35
Arlabanda,KURNOOL,KOSIGI - 5174,Arlabanda,0,2,20,4,17,1,22,0,0,0,10,12,5,0,17,22,0,22,0,4,18,2,20,17,5,19,3,22,0
Bompalle,KURNOOL,KOSIGI - 5174,Bompalle,0,0,24,4,19,1,21,3,0,1,12,11,3,0,21,20,4,24,0,14,10,14,10,23,1,22,2,24,0
Chintakunta,KURNOOL,KOSIGI - 5174,Chintakunta,0,0,21,5,15,1,20,1,0,0,10,11,0,1,20,19,2,21,0,0,21,2,19,17,4,20,1,21,0
Chirthanakal,KURNOOL,KOSIGI - 5174,Chirthanakal,0,4,18,5,16,1,21,1,0,0,3,19,0,0,22,22,0,22,0,0,22,0,22,19,3,18,4,22,0
D Belagal,KURNOOL,KOSIGI - 5174,D Belagal,0,6,19,2,18,5,22,3,0,1,13,11,0,0,25,25,0,25,0,6,19,2,23,21,4,23,2,25,0
Duddi,KURNOOL,KOSIGI - 5174,Duddi,0,15,12,5,22,0,25,2,0,0,6,21,2,0,25,23,4,27,0,2,25,26,1,23,4,2,25,19,8
Gowdegallu,KURNOOL,KOSIGI - 5174,Gowdegallu,0,2,1,0,2,1,1,1,1,0,1,2,1,0,2,3,0,3,0,0,3,1,2,2,1,3,0,2,1
Irangal,KURNOOL,KOSIGI - 5174,Irangal,0,1,1,0,1,1,0,2,0,0,1,1,0,0,2,2,0,2,0,0,2,2,0,2,0,2,0,2,0
Jampapuram,KURNOOL,KOSIGI - 5174,Jampapuram,0,0,24,3,18,3,24,0,0,2,9,13,3,0,21,23,1,24,0,9,15,13,11,20,4,16,8,24,0
Jumaladinne,KURNOOL,KOSIGI - 5174,Jumaladinne,0,0,19,1,16,2,18,1,0,0,3,16,0,0,19,18,1,19,0,2,17,1,18,16,3,19,0,19,0
Kandukur,KURNOOL,KOSIGI - 5174,Kandukur,0,8,3,4,6,1,10,1,0,0,2,9,0,0,11,8,3,11,0,0,11,8,3,7,4,10,1,8,3
Kosigi,KURNOOL,KOSIGI - 5174,Kosigi,0,17,25,3,33,6,38,4,0,1,16,25,0,0,42,36,6,42,0,11,31,21,21,34,8,30,12,31,11
Nelakosigi,KURNOOL,KOSIGI - 5174,Nelakosigi,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0
Pallipadu,KURNOOL,KOSIGI - 5174,Pallipadu,0,1,23,3,19,2,21,3,0,0,5,19,3,0,21,24,0,24,0,2,22,1,23,18,6,24,0,24,0
Pendekal,KURNOOL,KOSIGI - 5174,Pendekal,0,1,8,1,6,2,8,1,0,0,0,9,0,0,9,9,0,8,1,3,6,9,0,8,1,9,0,6,3
Sajjalaguddam,KURNOOL,KOSIGI - 5174,Sajjalaguddam,0,5,19,2,20,2,24,0,0,0,6,18,1,0,23,20,4,24,0,16,8,16,8,14,10,18,6,8,16
Sathanur,KURNOOL,KOSIGI - 5174,Sathanur,0,11,9,2,14,4,18,2,0,0,3,17,4,0,16,18,2,20,0,4,16,17,3,15,5,19,1,18,2
Vandagallu,KURNOOL,KOSIGI - 5174,Vandagallu,0,15,7,1,17,4,22,0,0,0,7,15,0,0,22,18,4,22,0,11,11,16,6,16,6,18,4,15,7
