State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Agasaladinne,KURNOOL,KOWTHALAM - 5176,Agasaladinne,1,63,35,39,51,9,69,27,3,3,36,60,7,0,92,97,2,99,0,17,82,47,52,94,5,80,19,58,41
Badinehal,KURNOOL,KOWTHALAM - 5176,Badinehal,0,8,4,0,11,1,9,3,0,5,7,0,2,0,10,10,2,12,0,2,10,2,10,10,2,10,2,8,4
Bantakunta,KURNOOL,KOWTHALAM - 5176,Bantakunta,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
Bapuram,KURNOOL,KOWTHALAM - 5176,Bapuram,0,2,4,0,3,3,3,3,0,1,2,3,2,0,4,6,0,6,0,0,6,3,3,5,1,5,1,5,1
Chirtapalle,KURNOOL,KOWTHALAM - 5176,Chirtapalle,0,6,16,5,17,0,18,4,0,11,6,5,0,0,21,22,0,22,0,1,21,14,8,22,0,20,2,19,3
Chudi,KURNOOL,KOWTHALAM - 5176,Chudi,0,10,1,1,9,1,10,1,0,2,5,4,1,0,10,11,0,11,0,0,11,2,9,10,1,11,0,8,3
Echalahal,KURNOOL,KOWTHALAM - 5176,Echalahal,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0
Gudikambali,KURNOOL,KOWTHALAM - 5176,Gudikambali,0,7,16,2,17,4,16,7,0,10,6,7,2,0,21,23,0,23,0,6,17,8,15,21,2,19,4,18,5
Halvi,KURNOOL,KOWTHALAM - 5176,Halvi,0,8,9,2,14,1,15,2,0,1,4,12,2,0,15,17,0,17,0,10,7,16,1,12,5,14,3,15,2
Kamavaram,KURNOOL,KOWTHALAM - 5176,Kamavaram,0,8,15,0,16,7,19,4,0,0,6,17,0,0,23,22,1,23,0,0,23,6,17,20,3,21,2,17,6
Katriki,KURNOOL,KOWTHALAM - 5176,Katriki,0,13,6,1,18,0,18,1,0,4,5,10,1,0,18,19,0,19,0,3,16,3,16,17,2,18,1,13,6
Kowthalam,KURNOOL,KOWTHALAM - 5176,Kowthalam,0,35,25,4,50,6,46,13,1,2,24,34,7,0,53,59,1,58,2,24,36,57,3,47,13,51,9,45,15
Kumbalanur,KURNOOL,KOWTHALAM - 5176,Kumbalanur,0,15,7,5,16,1,18,3,1,10,3,9,7,0,15,18,4,22,0,2,20,11,11,22,0,20,2,19,3
Kuntanahal,KURNOOL,KOWTHALAM - 5176,Kuntanahal,0,14,10,3,19,2,17,6,1,14,4,6,6,0,18,21,3,23,1,4,20,10,14,23,1,20,4,20,4
Lingaladinne,KURNOOL,KOWTHALAM - 5176,Lingaladinne,0,4,19,1,21,1,20,3,0,5,6,12,4,0,19,23,0,23,0,10,13,14,9,20,3,21,2,15,8
Madire,KURNOOL,KOWTHALAM - 5176,Madire,1,13,11,8,16,1,23,2,0,7,13,5,0,0,25,25,0,25,0,7,18,8,17,25,0,23,2,19,6
Myaliganur,KURNOOL,KOWTHALAM - 5176,Myaliganur,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0
Nadichagi,KURNOOL,KOWTHALAM - 5176,Nadichagi,0,16,6,3,18,1,18,4,0,1,6,15,2,0,20,14,8,22,0,10,12,19,3,21,1,20,2,18,4
Podalakunta,KURNOOL,KOWTHALAM - 5176,Podalakunta,0,16,5,1,16,4,18,3,0,0,9,12,4,0,17,21,0,21,0,11,10,15,6,19,2,16,5,18,3
Rowdur,KURNOOL,KOWTHALAM - 5176,Rowdur,1,11,3,0,13,2,13,2,0,5,5,5,3,0,12,15,0,14,1,1,14,4,11,10,5,11,4,11,4
Sulakeri,KURNOOL,KOWTHALAM - 5176,Sulakeri,0,9,10,3,14,2,15,4,0,6,7,6,3,0,16,19,0,19,0,1,18,2,17,15,4,17,2,12,7
Thovi,KURNOOL,KOWTHALAM - 5176,Thovi,0,14,4,2,16,0,14,4,0,1,10,7,0,0,18,18,0,18,0,5,13,7,11,16,2,17,1,14,4
Upparahal,KURNOOL,KOWTHALAM - 5176,Upparahal,0,7,7,0,13,1,10,3,1,4,5,5,1,0,13,14,0,14,0,5,9,13,1,12,2,11,3,12,2
Urukunda,KURNOOL,KOWTHALAM - 5176,Urukunda,0,17,7,2,18,4,18,6,0,2,6,16,1,0,23,24,0,24,0,9,15,18,6,22,2,21,3,18,6
Vallur,KURNOOL,KOWTHALAM - 5176,Vallur,0,17,8,4,17,4,17,8,0,0,9,16,2,0,23,25,0,24,1,10,15,20,5,23,2,23,2,20,5
Yerigiri,KURNOOL,KOWTHALAM - 5176,Yerigiri,1,19,5,3,18,4,17,7,1,3,4,17,1,0,24,25,0,25,0,22,3,25,0,23,2,22,3,19,6
