State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
B. Thandrapadu (OG),KURNOOL,KURNOOL - 5178,B. Thandrapadu (OG),0,31,5,7,27,2,33,3,0,0,0,36,0,0,36,35,1,35,1,26,10,28,8,36,0,23,13,36,0
Basavapuram,KURNOOL,KURNOOL - 5178,Basavapuram,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
Devamada,KURNOOL,KURNOOL - 5178,Devamada,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1
Diguvapadu,KURNOOL,KURNOOL - 5178,Diguvapadu,0,8,3,1,8,2,11,0,0,0,2,9,0,0,11,11,0,11,0,10,1,10,1,11,0,10,1,11,0
Dinnadevarapadu (OG),KURNOOL,KURNOOL - 5178,Dinnadevarapadu (OG),0,18,0,1,15,2,16,2,0,0,0,18,0,0,18,18,0,18,0,12,6,16,2,18,0,13,5,18,0
E.Thandrapadu,KURNOOL,KURNOOL - 5178,E.Thandrapadu,0,6,40,2,28,16,45,0,1,0,6,40,5,0,41,46,0,46,0,25,21,31,15,40,5,45,1,16,30
Edurur,KURNOOL,KURNOOL - 5178,Edurur,0,19,1,4,15,1,19,1,0,0,0,20,0,0,20,18,2,20,0,16,4,14,6,20,0,17,3,20,0
G.Singavaram,KURNOOL,KURNOOL - 5178,G.Singavaram,0,13,9,2,17,3,22,0,0,0,3,19,0,1,21,15,7,22,0,19,3,18,4,22,0,22,0,22,0
Gargeyapuram,KURNOOL,KURNOOL - 5178,Gargeyapuram,0,39,1,10,28,2,36,4,0,0,1,39,2,0,38,40,0,40,0,32,8,31,9,40,0,33,7,39,1
Gondiparla,KURNOOL,KURNOOL - 5178,Gondiparla,0,8,37,3,29,13,41,4,0,0,9,36,8,0,37,45,0,45,0,28,17,36,9,41,3,45,0,35,10
KURNOOL,KURNOOL,KURNOOL - 5178,KURNOOL,0,38,16,17,33,4,49,5,0,0,7,47,1,0,53,50,4,52,2,45,9,45,9,54,0,47,7,54,0
Mamidalapadu (CT),KURNOOL,KURNOOL - 5178,Mamidalapadu (CT),0,19,12,6,20,5,31,0,0,0,4,27,0,0,31,30,1,31,0,29,2,21,10,31,0,26,5,29,2
Nidzur,KURNOOL,KURNOOL - 5178,Nidzur,0,12,0,3,9,0,12,0,0,0,1,11,0,0,12,12,0,12,0,9,3,12,0,12,0,11,1,12,0
Noothanapalle,KURNOOL,KURNOOL - 5178,Noothanapalle,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0
Panchalingala,KURNOOL,KURNOOL - 5178,Panchalingala,0,25,60,28,46,11,81,4,0,0,7,78,1,0,84,85,0,82,3,43,42,78,7,78,7,76,9,85,0
Pasupula (OG),KURNOOL,KURNOOL - 5178,Pasupula (OG),0,25,17,6,32,4,42,0,0,1,5,36,1,0,41,41,1,41,1,23,19,27,15,42,0,39,3,42,0
R Konthalapadu,KURNOOL,KURNOOL - 5178,R Konthalapadu,0,3,5,0,7,1,8,0,0,0,1,7,0,0,8,7,1,8,0,7,1,3,5,8,0,8,0,8,0
Remata,KURNOOL,KURNOOL - 5178,Remata,0,22,0,6,15,1,20,2,0,0,1,21,3,0,19,21,1,22,0,18,4,16,6,22,0,11,11,22,0
Rudravaram,KURNOOL,KURNOOL - 5178,Rudravaram,0,22,14,7,26,3,33,2,1,0,4,32,1,0,35,34,2,36,0,15,21,13,23,36,0,32,4,35,1
Sunkesula,KURNOOL,KURNOOL - 5178,Sunkesula,0,19,4,7,16,0,21,2,0,0,1,22,0,0,23,18,5,23,0,20,3,17,6,23,0,21,2,23,0
Ulchala,KURNOOL,KURNOOL - 5178,Ulchala,0,31,0,5,23,3,28,3,0,0,1,30,1,0,30,30,1,31,0,28,3,24,7,31,0,29,2,30,1
