State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Basapuram,KURNOOL,MANTRALAYAM - 5181,Basapuram,0,10,4,3,9,2,13,1,0,0,7,7,1,0,13,14,0,14,0,0,14,10,4,12,2,7,7,7,7
Budur,KURNOOL,MANTRALAYAM - 5181,Budur,0,13,6,0,17,2,10,9,0,0,10,9,0,0,19,18,1,19,0,1,18,9,10,19,0,19,0,15,4
Chilakaladona,KURNOOL,MANTRALAYAM - 5181,Chilakaladona,1,24,11,1,30,5,25,11,0,0,14,22,6,0,30,36,0,36,0,3,33,18,18,32,4,30,6,27,9
Dibbanadoddi,KURNOOL,MANTRALAYAM - 5181,Dibbanadoddi,0,3,0,0,3,0,3,0,0,0,1,2,1,0,2,3,0,3,0,0,3,1,2,0,3,3,0,3,0
Kachapuram,KURNOOL,MANTRALAYAM - 5181,Kachapuram,0,11,5,4,12,0,10,6,0,0,5,11,0,0,16,6,10,16,0,1,15,10,6,16,0,14,2,12,4
Madhavaram,KURNOOL,MANTRALAYAM - 5181,Madhavaram,0,4,2,0,6,0,5,1,0,1,2,3,0,0,6,5,1,6,0,0,6,2,4,6,0,4,2,4,2
Malapalle,KURNOOL,MANTRALAYAM - 5181,Malapalle,0,8,1,0,7,2,8,1,0,0,2,7,1,0,8,6,3,9,0,0,9,5,4,8,1,6,3,3,6
Manchala,KURNOOL,MANTRALAYAM - 5181,Manchala,0,5,0,0,5,0,5,0,0,0,3,2,1,0,4,1,4,5,0,0,5,1,4,4,1,2,3,1,4
Narayanapuram,KURNOOL,MANTRALAYAM - 5181,Narayanapuram,0,1,3,0,4,0,3,1,0,1,0,3,0,0,4,2,2,4,0,3,1,3,1,4,0,4,0,4,0
Paramandoddi,KURNOOL,MANTRALAYAM - 5181,Paramandoddi,0,5,1,0,6,0,3,3,0,0,1,5,0,0,5,5,0,6,0,0,6,2,4,5,1,5,1,2,4
Rachumarri,KURNOOL,MANTRALAYAM - 5181,Rachumarri,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1
Rampuram,KURNOOL,MANTRALAYAM - 5181,Rampuram,0,5,2,1,6,0,7,0,0,0,4,3,0,0,7,3,4,7,0,0,7,3,4,6,1,5,2,4,3
Sunkeswari,KURNOOL,MANTRALAYAM - 5181,Sunkeswari,0,19,4,2,19,2,21,2,0,0,11,12,0,0,23,22,1,22,1,1,22,8,15,21,2,19,4,15,8
VAGARURU,KURNOOL,MANTRALAYAM - 5181,VAGARURU,1,34,10,2,37,6,35,10,0,3,22,20,7,0,38,42,3,45,0,1,44,21,24,41,4,38,7,30,15
