State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Brahmanapalle,KURNOOL,ORVAKAL - 5186,Brahmanapalle,2,17,0,1,17,1,17,2,0,1,5,13,0,0,19,19,0,19,0,14,5,15,4,19,0,18,1,15,4
Guttapadu,KURNOOL,ORVAKAL - 5186,Guttapadu,1,20,0,2,18,1,18,3,0,0,15,6,1,0,20,21,0,19,2,16,5,14,7,21,0,18,3,19,2
Husainapuram,KURNOOL,ORVAKAL - 5186,Husainapuram,4,23,5,6,22,4,30,2,0,0,17,15,19,0,13,31,1,31,1,23,9,24,8,32,0,28,4,27,5
Kalva,KURNOOL,ORVAKAL - 5186,Kalva,2,34,5,5,33,3,40,1,0,1,17,21,10,0,26,36,2,41,0,27,14,31,10,41,0,36,5,27,14
Kannamadakala,KURNOOL,ORVAKAL - 5186,Kannamadakala,3,19,0,4,17,1,20,2,0,0,7,15,3,0,19,22,0,22,0,14,8,17,5,22,0,21,1,19,3
Kethavaram,KURNOOL,ORVAKAL - 5186,Kethavaram,6,12,5,2,18,3,23,0,0,0,13,10,10,0,13,23,0,23,0,16,7,17,6,23,0,21,2,17,6
Komarolu,KURNOOL,ORVAKAL - 5186,Komarolu,0,19,4,4,17,2,21,2,0,0,8,15,0,0,23,19,4,23,0,17,6,17,6,23,0,16,7,19,4
Loddipalle,KURNOOL,ORVAKAL - 5186,Loddipalle,0,15,3,1,14,3,15,3,0,0,7,11,2,0,16,18,0,18,0,12,6,13,5,18,0,16,2,15,3
Meedivemula,KURNOOL,ORVAKAL - 5186,Meedivemula,0,19,2,4,16,1,21,0,0,0,11,10,3,0,18,21,0,21,0,15,6,15,6,21,0,16,5,21,0
Nannur,KURNOOL,ORVAKAL - 5186,Nannur,6,51,52,28,63,18,102,7,0,0,30,79,21,0,88,106,3,108,1,52,57,89,20,106,3,103,6,104,5
Orvakal,KURNOOL,ORVAKAL - 5186,Orvakal,0,18,6,4,17,3,23,1,0,0,7,17,12,0,12,24,0,24,0,8,16,12,12,24,0,21,3,21,3
Sakunala,KURNOOL,ORVAKAL - 5186,Sakunala,5,12,2,1,17,1,16,3,0,0,5,14,11,0,8,19,0,19,0,15,4,15,4,19,0,16,3,18,1
Somyajulapalle,KURNOOL,ORVAKAL - 5186,Somyajulapalle,0,18,2,2,16,2,17,3,0,1,9,10,3,0,17,20,0,20,0,13,7,14,6,20,0,18,2,9,11
Uppalapadu,KURNOOL,ORVAKAL - 5186,Uppalapadu,0,17,4,1,18,2,21,0,0,0,7,14,1,0,20,21,0,21,0,16,5,16,5,21,0,20,1,20,1
Uyyalawada,KURNOOL,ORVAKAL - 5186,Uyyalawada,3,17,1,2,16,3,21,0,0,0,6,15,0,0,20,21,0,21,0,16,5,17,4,21,0,19,2,21,0
