State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Chakkaralla,KURNOOL,PATTIKONDA - 5191,Chakkaralla,0,14,7,4,15,2,9,12,0,0,5,16,0,1,21,20,1,21,0,0,21,12,9,21,0,17,4,19,2
Chinna Hulthi,KURNOOL,PATTIKONDA - 5191,Chinna Hulthi,0,13,10,0,19,4,6,17,0,0,12,11,3,0,20,20,3,23,0,1,22,11,12,23,0,20,3,18,5
Devanabanda,KURNOOL,PATTIKONDA - 5191,Devanabanda,0,14,12,0,23,3,26,0,0,0,6,20,1,0,25,22,4,26,0,0,26,16,10,26,0,23,3,7,19
Dudekonda,KURNOOL,PATTIKONDA - 5191,Dudekonda,0,0,6,2,4,0,2,4,0,0,2,4,0,0,6,6,0,6,0,1,5,4,2,6,0,6,0,4,2
Hosur,KURNOOL,PATTIKONDA - 5191,Hosur,0,5,6,1,8,2,5,6,0,0,2,9,1,0,10,10,1,11,0,0,11,9,2,11,0,9,2,8,3
Jutur,KURNOOL,PATTIKONDA - 5191,Jutur,0,27,23,13,35,2,37,13,0,4,17,29,0,0,50,50,0,50,0,18,32,36,14,49,0,47,3,47,3
Nalakadoddi,KURNOOL,PATTIKONDA - 5191,Nalakadoddi,0,13,9,5,16,1,18,4,0,0,11,11,0,0,22,21,1,22,0,1,21,21,1,22,0,19,3,16,6
Pandikona,KURNOOL,PATTIKONDA - 5191,Pandikona,0,31,17,10,35,3,16,32,0,0,17,31,0,0,48,45,3,48,0,2,46,39,9,48,0,41,7,38,10
Pattikonda,KURNOOL,PATTIKONDA - 5191,Pattikonda,0,28,30,13,43,2,29,29,0,0,7,51,4,0,55,58,0,57,1,0,58,45,13,56,2,52,6,42,16
Putchakayalamada,KURNOOL,PATTIKONDA - 5191,Putchakayalamada,0,10,6,2,10,4,10,6,0,0,5,11,4,0,12,16,0,16,0,0,16,14,2,16,0,15,1,6,10
